 bare coating, constant channel, iterate over lens_dia, well_diff, det_rad, n_well (pdms =1.43 and silicon = 3.45), n_oil (pdms=1.43, oil=1.52), n_lens (1.76, 2.1),,,,,,,,,,,
 EMISSION (um), N_WELL , N_OIL, N_LENS, COAT_REFL, LENS_DIA (um), EFF (um), BFL (um), CHAN WIDTH (um), WELL HEIGHT (um), WELL DIFF HEIGHT (um), WELL WIDTH (um), SLIDE_HEIGHT (um), AIR_GAP (um), WD (um), DET_RAD (um), \NUMBEROFRAYS.\, \RAYS_AREA.\, \BASENUMBEROFRAYS.\, \BASERAYS_AREA.\  ,
0.59,1.43,1.33,1.768,0.75,200,201.82,101.82,25,100,0,200,170,2,370,100,0,18,0,0.000572958,
0.59,1.43,1.33,1.768,0.75,200,201.82,101.82,25,100,0,200,170,2,370,150,0,18,0,0.000254648,
0.59,1.43,1.33,1.768,0.75,200,201.82,101.82,25,100,0,200,170,2,370,200,0,19,0,0.000151197,
0.59,1.43,1.33,1.768,0.75,200,201.82,101.82,25,100,0,200,170,2,370,250,0,37,0,0.00018844,
0.59,1.43,1.33,1.768,0.75,200,201.82,101.82,25,100,0,200,170,2,370,300,0,53,0,0.000187449,
0.59,1.43,1.33,1.768,0.75,200,201.82,101.82,25,100,0,200,170,2,370,50,0,8,0,0.001018592,
0.59,1.43,1.33,1.768,0.75,425,428.88,216.38,25,248.8812785,36.38127854,425,170,2,631.3,50,0,2,0,0.000254648,
0.59,1.43,1.33,1.768,0.75,425,428.88,216.38,25,248.8812785,36.38127854,425,170,2,631.3,100,0,11,0,0.000350141,
0.59,1.43,1.33,1.768,0.75,425,428.88,216.38,25,248.8812785,36.38127854,425,170,2,631.3,150,0,30,0,0.000424414,
0.59,1.43,1.33,1.768,0.75,425,428.88,216.38,25,248.8812785,36.38127854,425,170,2,631.3,200,0,36,0,0.000286479,
0.59,1.43,1.33,1.768,0.75,425,428.88,216.38,25,248.8812785,36.38127854,425,170,2,631.3,250,0,36,0,0.000183347,
0.59,1.43,1.33,1.768,0.75,425,428.88,216.38,25,248.8812785,36.38127854,425,170,2,631.3,300,0,36,0,0.000127324,
0.59,1.43,1.33,1.768,0.75,425,428.88,216.38,25,248.8812785,36.38127854,425,170,2,631.3,50,0,2,0,0.000254648,
0.59,1.43,1.33,1.768,0.75,650,655.93,330.93,25,475.9360731,150.9360731,650,170,2,970.9,50,0,0,0,0,
0.59,1.43,1.33,1.768,0.75,650,655.93,330.93,25,475.9360731,150.9360731,650,170,2,970.9,100,0,4,0,0.000127324,
0.59,1.43,1.33,1.768,0.75,650,655.93,330.93,25,475.9360731,150.9360731,650,170,2,970.9,150,0,8,0,0.000113177,
0.59,1.43,1.33,1.768,0.75,650,655.93,330.93,25,475.9360731,150.9360731,650,170,2,970.9,200,0,18,0,0.00014324,
0.59,1.43,1.33,1.768,0.75,650,655.93,330.93,25,475.9360731,150.9360731,650,170,2,970.9,250,0,37,0,0.00018844,
0.59,1.43,1.33,1.768,0.75,650,655.93,330.93,25,475.9360731,150.9360731,650,170,2,970.9,300,0,37,0,0.000130861,
0.59,1.43,1.33,1.768,0.75,650,655.93,330.93,25,475.9360731,150.9360731,650,170,2,970.9,50,0,0,0,0,
0.59,1.43,1.33,1.768,0.75,875,882.99,445.49,25,702.9908676,265.4908676,875,170,2,1310,50,0,0,0,0,
0.59,1.43,1.33,1.768,0.75,875,882.99,445.49,25,702.9908676,265.4908676,875,170,2,1310,100,0,1,0,3.1831E-05,
0.59,1.43,1.33,1.768,0.75,875,882.99,445.49,25,702.9908676,265.4908676,875,170,2,1310,150,0,3,0,4.24414E-05,
0.59,1.43,1.33,1.768,0.75,875,882.99,445.49,25,702.9908676,265.4908676,875,170,2,1310,200,0,8,0,6.3662E-05,
0.59,1.43,1.33,1.768,0.75,875,882.99,445.49,25,702.9908676,265.4908676,875,170,2,1310,250,0,15,0,7.63944E-05,
0.59,1.43,1.33,1.768,0.75,875,882.99,445.49,25,702.9908676,265.4908676,875,170,2,1310,300,0,27,0,9.5493E-05,
0.59,1.43,1.33,1.768,0.75,875,882.99,445.49,25,702.9908676,265.4908676,875,170,2,1310,50,0,0,0,0,
0.59,1.43,1.33,1.768,0.75,1100,1110,560.04,25,930.0456621,380.0456621,1100,170,2,1650,50,0,0,0,0,
0.59,1.43,1.33,1.768,0.75,1100,1110,560.04,25,930.0456621,380.0456621,1100,170,2,1650,100,0,2,0,6.3662E-05,
0.59,1.43,1.33,1.768,0.75,1100,1110,560.04,25,930.0456621,380.0456621,1100,170,2,1650,150,0,3,0,4.24414E-05,
0.59,1.43,1.33,1.768,0.75,1100,1110,560.04,25,930.0456621,380.0456621,1100,170,2,1650,200,0,6,0,4.77465E-05,
0.59,1.43,1.33,1.768,0.75,1100,1110,560.04,25,930.0456621,380.0456621,1100,170,2,1650,250,0,10,0,5.09296E-05,
0.59,1.43,1.33,1.768,0.75,1100,1110,560.04,25,930.0456621,380.0456621,1100,170,2,1650,300,0,17,0,6.01253E-05,
0.59,1.43,1.33,1.768,0.75,1100,1110,560.04,25,930.0456621,380.0456621,1100,170,2,1650,50,0,0,0,0,
0.59,1.43,1.43,1.768,0.75,200,261.53,161.53,25,100,0,200,170,2,370,50,0,6,0,0.000763944,
0.59,1.43,1.43,1.768,0.75,200,261.53,161.53,25,100,0,200,170,2,370,100,0,18,0,0.000572958,
0.59,1.43,1.43,1.768,0.75,200,261.53,161.53,25,100,0,200,170,2,370,150,0,18,0,0.000254648,
0.59,1.43,1.43,1.768,0.75,200,261.53,161.53,25,100,0,200,170,2,370,200,0,31,0,0.00024669,
0.59,1.43,1.43,1.768,0.75,200,261.53,161.53,25,100,0,200,170,2,370,250,0,52,0,0.000264834,
0.59,1.43,1.43,1.768,0.75,200,261.53,161.53,25,100,0,200,170,2,370,300,0,54,0,0.000190986,
0.59,1.43,1.43,1.768,0.75,200,261.53,161.53,25,100,0,200,170,2,370,50,0,6,0,0.000763944,
0.59,1.43,1.43,1.768,0.75,425,555.76,343.26,25,375.7692308,163.2692308,425,170,2,758.2,50,0,2,0,0.000254648,
0.59,1.43,1.43,1.768,0.75,425,555.76,343.26,25,375.7692308,163.2692308,425,170,2,758.2,100,0,6,0,0.000190986,
0.59,1.43,1.43,1.768,0.75,425,555.76,343.26,25,375.7692308,163.2692308,425,170,2,758.2,150,0,20,0,0.000282942,
0.59,1.43,1.43,1.768,0.75,425,555.76,343.26,25,375.7692308,163.2692308,425,170,2,758.2,200,0,20,0,0.000159155,
0.59,1.43,1.43,1.768,0.75,425,555.76,343.26,25,375.7692308,163.2692308,425,170,2,758.2,250,0,20,0,0.000101859,
0.59,1.43,1.43,1.768,0.75,425,555.76,343.26,25,375.7692308,163.2692308,425,170,2,758.2,300,0,20,0,7.07356E-05,
0.59,1.43,1.43,1.768,0.75,425,555.76,343.26,25,375.7692308,163.2692308,425,170,2,758.2,50,0,2,0,0.000254648,
0.59,1.43,1.43,1.768,0.75,650,850,525,25,670,345,650,170,2,1165,50,0,0,0,0,
0.59,1.43,1.43,1.768,0.75,650,850,525,25,670,345,650,170,2,1165,100,0,3,0,9.5493E-05,
0.59,1.43,1.43,1.768,0.75,650,850,525,25,670,345,650,170,2,1165,150,0,6,0,8.48827E-05,
0.59,1.43,1.43,1.768,0.75,650,850,525,25,670,345,650,170,2,1165,200,0,13,0,0.000103451,
0.59,1.43,1.43,1.768,0.75,650,850,525,25,670,345,650,170,2,1165,250,0,26,0,0.000132417,
0.59,1.43,1.43,1.768,0.75,650,850,525,25,670,345,650,170,2,1165,300,0,26,0,9.19563E-05,
0.59,1.43,1.43,1.768,0.75,650,850,525,25,670,345,650,170,2,1165,50,0,0,0,0,
0.59,1.43,1.43,1.768,0.75,875,1144.2,706.73,25,964.2307692,526.7307692,875,170,2,1571,50,0,0,0,0,
0.59,1.43,1.43,1.768,0.75,875,1144.2,706.73,25,964.2307692,526.7307692,875,170,2,1571,100,0,0,0,0,
0.59,1.43,1.43,1.768,0.75,875,1144.2,706.73,25,964.2307692,526.7307692,875,170,2,1571,150,0,1,0,1.41471E-05,
0.59,1.43,1.43,1.768,0.75,875,1144.2,706.73,25,964.2307692,526.7307692,875,170,2,1571,200,0,4,0,3.1831E-05,
0.59,1.43,1.43,1.768,0.75,875,1144.2,706.73,25,964.2307692,526.7307692,875,170,2,1571,250,0,10,0,5.09296E-05,
0.59,1.43,1.43,1.768,0.75,875,1144.2,706.73,25,964.2307692,526.7307692,875,170,2,1571,300,0,20,0,7.07356E-05,
0.59,1.43,1.43,1.768,0.75,875,1144.2,706.73,25,964.2307692,526.7307692,875,170,2,1571,50,0,0,0,0,
0.59,1.43,1.43,1.768,0.75,1100,1438.4,888.46,25,1258.461538,708.4615385,1100,170,2,1978,50,0,0,0,0,
0.59,1.43,1.43,1.768,0.75,1100,1438.4,888.46,25,1258.461538,708.4615385,1100,170,2,1978,100,0,0,0,0,
0.59,1.43,1.43,1.768,0.75,1100,1438.4,888.46,25,1258.461538,708.4615385,1100,170,2,1978,150,0,2,0,2.82942E-05,
0.59,1.43,1.43,1.768,0.75,1100,1438.4,888.46,25,1258.461538,708.4615385,1100,170,2,1978,200,0,4,0,3.1831E-05,
0.59,1.43,1.43,1.768,0.75,1100,1438.4,888.46,25,1258.461538,708.4615385,1100,170,2,1978,250,0,6,0,3.05578E-05,
0.59,1.43,1.43,1.768,0.75,1100,1438.4,888.46,25,1258.461538,708.4615385,1100,170,2,1978,300,0,8,0,2.82942E-05,
0.59,1.43,1.43,1.768,0.75,1100,1438.4,888.46,25,1258.461538,708.4615385,1100,170,2,1978,50,0,0,0,0,
0.59,1.43,1.33,1.768,1,200,201.82,101.82,25,100,0,200,170,2,370,50,0,8,0,0.001018592,
0.59,1.43,1.33,1.768,1,200,201.82,101.82,25,100,0,200,170,2,370,100,0,18,0,0.000572958,
0.59,1.43,1.33,1.768,1,200,201.82,101.82,25,100,0,200,170,2,370,150,0,18,0,0.000254648,
0.59,1.43,1.33,1.768,1,200,201.82,101.82,25,100,0,200,170,2,370,200,0,19,0,0.000151197,
0.59,1.43,1.33,1.768,1,200,201.82,101.82,25,100,0,200,170,2,370,250,0,37,0,0.00018844,
0.59,1.43,1.33,1.768,1,200,201.82,101.82,25,100,0,200,170,2,370,300,0,53,0,0.000187449,
0.59,1.43,1.33,1.768,1,200,201.82,101.82,25,100,0,200,170,2,370,50,0,8,0,0.001018592,
0.59,1.43,1.33,1.768,1,425,428.88,216.38,25,248.8812785,36.38127854,425,170,2,631.3,50,0,2,0,0.000254648,
0.59,1.43,1.33,1.768,1,425,428.88,216.38,25,248.8812785,36.38127854,425,170,2,631.3,100,0,11,0,0.000350141,
0.59,1.43,1.33,1.768,1,425,428.88,216.38,25,248.8812785,36.38127854,425,170,2,631.3,150,0,30,0,0.000424414,
0.59,1.43,1.33,1.768,1,425,428.88,216.38,25,248.8812785,36.38127854,425,170,2,631.3,200,0,36,0,0.000286479,
0.59,1.43,1.33,1.768,1,425,428.88,216.38,25,248.8812785,36.38127854,425,170,2,631.3,250,0,36,0,0.000183347,
0.59,1.43,1.33,1.768,1,425,428.88,216.38,25,248.8812785,36.38127854,425,170,2,631.3,300,0,36,0,0.000127324,
0.59,1.43,1.33,1.768,1,425,428.88,216.38,25,248.8812785,36.38127854,425,170,2,631.3,50,0,2,0,0.000254648,
0.59,1.43,1.33,1.768,1,650,655.93,330.93,25,475.9360731,150.9360731,650,170,2,970.9,50,0,0,0,0,
0.59,1.43,1.33,1.768,1,650,655.93,330.93,25,475.9360731,150.9360731,650,170,2,970.9,100,0,4,0,0.000127324,
0.59,1.43,1.33,1.768,1,650,655.93,330.93,25,475.9360731,150.9360731,650,170,2,970.9,150,0,8,0,0.000113177,
0.59,1.43,1.33,1.768,1,650,655.93,330.93,25,475.9360731,150.9360731,650,170,2,970.9,200,0,18,0,0.00014324,
0.59,1.43,1.33,1.768,1,650,655.93,330.93,25,475.9360731,150.9360731,650,170,2,970.9,250,0,37,0,0.00018844,
0.59,1.43,1.33,1.768,1,650,655.93,330.93,25,475.9360731,150.9360731,650,170,2,970.9,300,0,37,0,0.000130861,
0.59,1.43,1.33,1.768,1,650,655.93,330.93,25,475.9360731,150.9360731,650,170,2,970.9,50,0,0,0,0,
0.59,1.43,1.33,1.768,1,875,882.99,445.49,25,702.9908676,265.4908676,875,170,2,1310,50,0,0,0,0,
0.59,1.43,1.33,1.768,1,875,882.99,445.49,25,702.9908676,265.4908676,875,170,2,1310,100,0,1,0,3.1831E-05,
0.59,1.43,1.33,1.768,1,875,882.99,445.49,25,702.9908676,265.4908676,875,170,2,1310,150,0,3,0,4.24414E-05,
0.59,1.43,1.33,1.768,1,875,882.99,445.49,25,702.9908676,265.4908676,875,170,2,1310,200,0,8,0,6.3662E-05,
0.59,1.43,1.33,1.768,1,875,882.99,445.49,25,702.9908676,265.4908676,875,170,2,1310,250,0,15,0,7.63944E-05,
0.59,1.43,1.33,1.768,1,875,882.99,445.49,25,702.9908676,265.4908676,875,170,2,1310,300,0,27,0,9.5493E-05,
0.59,1.43,1.33,1.768,1,875,882.99,445.49,25,702.9908676,265.4908676,875,170,2,1310,50,0,0,0,0,
0.59,1.43,1.33,1.768,1,1100,1110,560.04,25,930.0456621,380.0456621,1100,170,2,1650,50,0,0,0,0,
0.59,1.43,1.33,1.768,1,1100,1110,560.04,25,930.0456621,380.0456621,1100,170,2,1650,100,0,2,0,6.3662E-05,
0.59,1.43,1.33,1.768,1,1100,1110,560.04,25,930.0456621,380.0456621,1100,170,2,1650,150,0,3,0,4.24414E-05,
0.59,1.43,1.33,1.768,1,1100,1110,560.04,25,930.0456621,380.0456621,1100,170,2,1650,200,0,6,0,4.77465E-05,
0.59,1.43,1.33,1.768,1,1100,1110,560.04,25,930.0456621,380.0456621,1100,170,2,1650,250,0,10,0,5.09296E-05,
0.59,1.43,1.33,1.768,1,1100,1110,560.04,25,930.0456621,380.0456621,1100,170,2,1650,300,0,17,0,6.01253E-05,
0.59,1.43,1.33,1.768,1,1100,1110,560.04,25,930.0456621,380.0456621,1100,170,2,1650,50,0,0,0,0,
0.59,1.43,1.43,1.768,1,200,261.53,161.53,25,100,0,200,170,2,370,50,0,6,0,0.000763944,
0.59,1.43,1.43,1.768,1,200,261.53,161.53,25,100,0,200,170,2,370,100,0,18,0,0.000572958,
0.59,1.43,1.43,1.768,1,200,261.53,161.53,25,100,0,200,170,2,370,150,0,18,0,0.000254648,
0.59,1.43,1.43,1.768,1,200,261.53,161.53,25,100,0,200,170,2,370,200,0,31,0,0.00024669,
0.59,1.43,1.43,1.768,1,200,261.53,161.53,25,100,0,200,170,2,370,250,0,52,0,0.000264834,
0.59,1.43,1.43,1.768,1,200,261.53,161.53,25,100,0,200,170,2,370,300,0,54,0,0.000190986,
0.59,1.43,1.43,1.768,1,200,261.53,161.53,25,100,0,200,170,2,370,50,0,6,0,0.000763944,
0.59,1.43,1.43,1.768,1,425,555.76,343.26,25,375.7692308,163.2692308,425,170,2,758.2,50,0,2,0,0.000254648,
0.59,1.43,1.43,1.768,1,425,555.76,343.26,25,375.7692308,163.2692308,425,170,2,758.2,100,0,6,0,0.000190986,
0.59,1.43,1.43,1.768,1,425,555.76,343.26,25,375.7692308,163.2692308,425,170,2,758.2,150,0,20,0,0.000282942,
0.59,1.43,1.43,1.768,1,425,555.76,343.26,25,375.7692308,163.2692308,425,170,2,758.2,200,0,20,0,0.000159155,
0.59,1.43,1.43,1.768,1,425,555.76,343.26,25,375.7692308,163.2692308,425,170,2,758.2,250,0,20,0,0.000101859,
0.59,1.43,1.43,1.768,1,425,555.76,343.26,25,375.7692308,163.2692308,425,170,2,758.2,300,0,20,0,7.07356E-05,
0.59,1.43,1.43,1.768,1,425,555.76,343.26,25,375.7692308,163.2692308,425,170,2,758.2,50,0,2,0,0.000254648,
0.59,1.43,1.43,1.768,1,650,850,525,25,670,345,650,170,2,1165,50,0,0,0,0,
0.59,1.43,1.43,1.768,1,650,850,525,25,670,345,650,170,2,1165,100,0,3,0,9.5493E-05,
0.59,1.43,1.43,1.768,1,650,850,525,25,670,345,650,170,2,1165,150,0,6,0,8.48827E-05,
0.59,1.43,1.43,1.768,1,650,850,525,25,670,345,650,170,2,1165,200,0,13,0,0.000103451,
0.59,1.43,1.43,1.768,1,650,850,525,25,670,345,650,170,2,1165,250,0,26,0,0.000132417,
0.59,1.43,1.43,1.768,1,650,850,525,25,670,345,650,170,2,1165,300,0,26,0,9.19563E-05,
0.59,1.43,1.43,1.768,1,650,850,525,25,670,345,650,170,2,1165,50,0,0,0,0,
0.59,1.43,1.43,1.768,1,875,1144.2,706.73,25,964.2307692,526.7307692,875,170,2,1571,50,0,0,0,0,
0.59,1.43,1.43,1.768,1,875,1144.2,706.73,25,964.2307692,526.7307692,875,170,2,1571,100,0,0,0,0,
0.59,1.43,1.43,1.768,1,875,1144.2,706.73,25,964.2307692,526.7307692,875,170,2,1571,150,0,1,0,1.41471E-05,
0.59,1.43,1.43,1.768,1,875,1144.2,706.73,25,964.2307692,526.7307692,875,170,2,1571,200,0,4,0,3.1831E-05,
0.59,1.43,1.43,1.768,1,875,1144.2,706.73,25,964.2307692,526.7307692,875,170,2,1571,250,0,10,0,5.09296E-05,
0.59,1.43,1.43,1.768,1,875,1144.2,706.73,25,964.2307692,526.7307692,875,170,2,1571,300,0,21,0,7.42724E-05,
0.59,1.43,1.43,1.768,1,875,1144.2,706.73,25,964.2307692,526.7307692,875,170,2,1571,50,0,0,0,0,
0.59,1.43,1.43,1.768,1,1100,1438.4,888.46,25,1258.461538,708.4615385,1100,170,2,1978,50,0,0,0,0,
0.59,1.43,1.43,1.768,1,1100,1438.4,888.46,25,1258.461538,708.4615385,1100,170,2,1978,100,0,0,0,0,
0.59,1.43,1.43,1.768,1,1100,1438.4,888.46,25,1258.461538,708.4615385,1100,170,2,1978,150,0,2,0,2.82942E-05,
0.59,1.43,1.43,1.768,1,1100,1438.4,888.46,25,1258.461538,708.4615385,1100,170,2,1978,200,0,4,0,3.1831E-05,
0.59,1.43,1.43,1.768,1,1100,1438.4,888.46,25,1258.461538,708.4615385,1100,170,2,1978,250,0,6,0,3.05578E-05,
0.59,1.43,1.43,1.768,1,1100,1438.4,888.46,25,1258.461538,708.4615385,1100,170,2,1978,300,0,8,0,2.82942E-05,
0.59,1.43,1.43,1.768,1,1100,1438.4,888.46,25,1258.461538,708.4615385,1100,170,2,1978,50,0,0,0,0,
0.59,1.43,1.33,2.1,0,200,136.36,36.363,25,100,0,200,170,2,370,50,0,16,0,0.002037185,
0.59,1.43,1.33,2.1,0,200,136.36,36.363,25,100,0,200,170,2,370,100,0,16,0,0.000509296,
0.59,1.43,1.33,2.1,0,200,136.36,36.363,25,100,0,200,170,2,370,150,0,20,0,0.000282942,
0.59,1.43,1.33,2.1,0,200,136.36,36.363,25,100,0,200,170,2,370,200,0,22,0,0.000175071,
0.59,1.43,1.33,2.1,0,200,136.36,36.363,25,100,0,200,170,2,370,250,0,41,0,0.000208811,
0.59,1.43,1.33,2.1,0,200,136.36,36.363,25,100,0,200,170,2,370,300,0,57,0,0.000201596,
0.59,1.43,1.33,2.1,0,200,136.36,36.363,25,100,0,200,170,2,370,50,0,16,0,0.002037185,
0.59,1.43,1.33,2.1,0,425,289.77,77.272,25,212.5,0,425,170,2,595,50,0,4,0,0.000509296,
0.59,1.43,1.33,2.1,0,425,289.77,77.272,25,212.5,0,425,170,2,595,100,0,15,0,0.000477465,
0.59,1.43,1.33,2.1,0,425,289.77,77.272,25,212.5,0,425,170,2,595,150,0,37,0,0.000523443,
0.59,1.43,1.33,2.1,0,425,289.77,77.272,25,212.5,0,425,170,2,595,200,0,37,0,0.000294437,
0.59,1.43,1.33,2.1,0,425,289.77,77.272,25,212.5,0,425,170,2,595,250,0,38,0,0.000193533,
0.59,1.43,1.33,2.1,0,425,289.77,77.272,25,212.5,0,425,170,2,595,300,0,40,0,0.000141471,
0.59,1.43,1.33,2.1,0,425,289.77,77.272,25,212.5,0,425,170,2,595,50,0,4,0,0.000509296,
0.59,1.43,1.33,2.1,0,650,443.18,118.18,25,325,0,650,170,2,820,50,0,2,0,0.000254648,
0.59,1.43,1.33,2.1,0,650,443.18,118.18,25,325,0,650,170,2,820,100,0,12,0,0.000381972,
0.59,1.43,1.33,2.1,0,650,443.18,118.18,25,325,0,650,170,2,820,150,0,26,0,0.000367825,
0.59,1.43,1.33,2.1,0,650,443.18,118.18,25,325,0,650,170,2,820,200,0,69,0,0.000549085,
0.59,1.43,1.33,2.1,0,650,443.18,118.18,25,325,0,650,170,2,820,250,0,86,0,0.000437995,
0.59,1.43,1.33,2.1,0,650,443.18,118.18,25,325,0,650,170,2,820,300,0,86,0,0.000304163,
0.59,1.43,1.33,2.1,0,650,443.18,118.18,25,325,0,650,170,2,820,50,0,2,0,0.000254648,
0.59,1.43,1.33,2.1,0,875,596.59,159.09,25,437.5,0,875,170,2,1045,50,0,0,0,0,
0.59,1.43,1.33,2.1,0,875,596.59,159.09,25,437.5,0,875,170,2,1045,100,0,1,0,3.1831E-05,
0.59,1.43,1.33,2.1,0,875,596.59,159.09,25,437.5,0,875,170,2,1045,150,0,5,0,7.07356E-05,
0.59,1.43,1.33,2.1,0,875,596.59,159.09,25,437.5,0,875,170,2,1045,200,0,12,0,9.5493E-05,
0.59,1.43,1.33,2.1,0,875,596.59,159.09,25,437.5,0,875,170,2,1045,250,0,25,0,0.000127324,
0.59,1.43,1.33,2.1,0,875,596.59,159.09,25,437.5,0,875,170,2,1045,300,0,84,0,0.000297089,
0.59,1.43,1.33,2.1,0,875,596.59,159.09,25,437.5,0,875,170,2,1045,50,0,0,0,0,
0.59,1.43,1.33,2.1,0,1100,750,200,25,570,20,1100,170,2,1290,50,0,2,0,0.000254648,
0.59,1.43,1.33,2.1,0,1100,750,200,25,570,20,1100,170,2,1290,100,0,4,0,0.000127324,
0.59,1.43,1.33,2.1,0,1100,750,200,25,570,20,1100,170,2,1290,150,0,8,0,0.000113177,
0.59,1.43,1.33,2.1,0,1100,750,200,25,570,20,1100,170,2,1290,200,0,17,0,0.000135282,
0.59,1.43,1.33,2.1,0,1100,750,200,25,570,20,1100,170,2,1290,250,0,25,0,0.000127324,
0.59,1.43,1.33,2.1,0,1100,750,200,25,570,20,1100,170,2,1290,300,0,35,0,0.000123787,
0.59,1.43,1.33,2.1,0,1100,750,200,25,570,20,1100,170,2,1290,50,0,2,0,0.000254648,
0.59,1.43,1.43,2.1,0,200,156.71,56.716,25,100,0,200,170,2,370,50,0,14,0,0.001782537,
0.59,1.43,1.43,2.1,0,200,156.71,56.716,25,100,0,200,170,2,370,100,0,14,0,0.000445634,
0.59,1.43,1.43,2.1,0,200,156.71,56.716,25,100,0,200,170,2,370,150,0,18,0,0.000254648,
0.59,1.43,1.43,2.1,0,200,156.71,56.716,25,100,0,200,170,2,370,200,0,32,0,0.000254648,
0.59,1.43,1.43,2.1,0,200,156.71,56.716,25,100,0,200,170,2,370,250,0,53,0,0.000269927,
0.59,1.43,1.43,2.1,0,200,156.71,56.716,25,100,0,200,170,2,370,300,0,55,0,0.000194523,
0.59,1.43,1.43,2.1,0,200,156.71,56.716,25,100,0,200,170,2,370,50,0,14,0,0.001782537,
0.59,1.43,1.43,2.1,0,425,333.02,120.52,25,212.5,0,425,170,2,595,50,0,4,0,0.000509296,
0.59,1.43,1.43,2.1,0,425,333.02,120.52,25,212.5,0,425,170,2,595,100,0,13,0,0.000413803,
0.59,1.43,1.43,2.1,0,425,333.02,120.52,25,212.5,0,425,170,2,595,150,0,45,0,0.00063662,
0.59,1.43,1.43,2.1,0,425,333.02,120.52,25,212.5,0,425,170,2,595,200,0,45,0,0.000358099,
0.59,1.43,1.43,2.1,0,425,333.02,120.52,25,212.5,0,425,170,2,595,250,0,46,0,0.000234276,
0.59,1.43,1.43,2.1,0,425,333.02,120.52,25,212.5,0,425,170,2,595,300,0,49,0,0.000173302,
0.59,1.43,1.43,2.1,0,425,333.02,120.52,25,212.5,0,425,170,2,595,50,0,4,0,0.000509296,
0.59,1.43,1.43,2.1,0,650,509.32,184.32,25,329.3283582,4.328358209,650,170,2,824.3,50,0,2,0,0.000254648,
0.59,1.43,1.43,2.1,0,650,509.32,184.32,25,329.3283582,4.328358209,650,170,2,824.3,100,0,7,0,0.000222817,
0.59,1.43,1.43,2.1,0,650,509.32,184.32,25,329.3283582,4.328358209,650,170,2,824.3,150,0,23,0,0.000325384,
0.59,1.43,1.43,2.1,0,650,509.32,184.32,25,329.3283582,4.328358209,650,170,2,824.3,200,0,50,0,0.000397888,
0.59,1.43,1.43,2.1,0,650,509.32,184.32,25,329.3283582,4.328358209,650,170,2,824.3,250,0,87,0,0.000443088,
0.59,1.43,1.43,2.1,0,650,509.32,184.32,25,329.3283582,4.328358209,650,170,2,824.3,300,0,89,0,0.000314773,
0.59,1.43,1.43,2.1,0,650,509.32,184.32,25,329.3283582,4.328358209,650,170,2,824.3,50,0,2,0,0.000254648,
0.59,1.43,1.43,2.1,0,875,685.63,248.13,25,505.6343284,68.13432836,875,170,2,1113,50,0,0,0,0,
0.59,1.43,1.43,2.1,0,875,685.63,248.13,25,505.6343284,68.13432836,875,170,2,1113,100,0,1,0,3.1831E-05,
0.59,1.43,1.43,2.1,0,875,685.63,248.13,25,505.6343284,68.13432836,875,170,2,1113,150,0,4,0,5.65885E-05,
0.59,1.43,1.43,2.1,0,875,685.63,248.13,25,505.6343284,68.13432836,875,170,2,1113,200,0,11,0,8.75353E-05,
0.59,1.43,1.43,2.1,0,875,685.63,248.13,25,505.6343284,68.13432836,875,170,2,1113,250,0,23,0,0.000117138,
0.59,1.43,1.43,2.1,0,875,685.63,248.13,25,505.6343284,68.13432836,875,170,2,1113,300,0,59,0,0.00020867,
0.59,1.43,1.43,2.1,0,875,685.63,248.13,25,505.6343284,68.13432836,875,170,2,1113,50,0,0,0,0,
0.59,1.43,1.43,2.1,0,1100,861.94,311.94,25,681.9402985,131.9402985,1100,170,2,1401,50,0,2,0,0.000254648,
0.59,1.43,1.43,2.1,0,1100,861.94,311.94,25,681.9402985,131.9402985,1100,170,2,1401,100,0,3,0,9.5493E-05,
0.59,1.43,1.43,2.1,0,1100,861.94,311.94,25,681.9402985,131.9402985,1100,170,2,1401,150,0,7,0,9.90298E-05,
0.59,1.43,1.43,2.1,0,1100,861.94,311.94,25,681.9402985,131.9402985,1100,170,2,1401,200,0,12,0,9.5493E-05,
0.59,1.43,1.43,2.1,0,1100,861.94,311.94,25,681.9402985,131.9402985,1100,170,2,1401,250,0,22,0,0.000112045,
0.59,1.43,1.43,2.1,0,1100,861.94,311.94,25,681.9402985,131.9402985,1100,170,2,1401,300,0,33,0,0.000116714,
0.59,1.43,1.43,2.1,0,1100,861.94,311.94,25,681.9402985,131.9402985,1100,170,2,1401,50,0,2,0,0.000254648,
0.59,1.43,1.33,2.1,0.25,200,136.36,36.363,25,100,0,200,170,2,370,50,0,16,0,0.002037185,
0.59,1.43,1.33,2.1,0.25,200,136.36,36.363,25,100,0,200,170,2,370,100,0,16,0,0.000509296,
0.59,1.43,1.33,2.1,0.25,200,136.36,36.363,25,100,0,200,170,2,370,150,0,20,0,0.000282942,
0.59,1.43,1.33,2.1,0.25,200,136.36,36.363,25,100,0,200,170,2,370,200,0,22,0,0.000175071,
0.59,1.43,1.33,2.1,0.25,200,136.36,36.363,25,100,0,200,170,2,370,250,0,41,0,0.000208811,
0.59,1.43,1.33,2.1,0.25,200,136.36,36.363,25,100,0,200,170,2,370,300,0,57,0,0.000201596,
0.59,1.43,1.33,2.1,0.25,200,136.36,36.363,25,100,0,200,170,2,370,50,0,16,0,0.002037185,
