 bare coating, constant channel, iterate over lens_dia, well_diff, det_rad, n_well (pdms =1.43 and silicon = 3.45), n_oil (pdms=1.43, oil=1.52), n_lens (1.76, 2.1),,,,,,,,,,,
 EMISSION (um), N_WELL , N_OIL, N_LENS, COAT_REFL, LENS_DIA (um), EFF (um), BFL (um), CHAN WIDTH (um), WELL HEIGHT (um), WELL DIFF HEIGHT (um), WELL WIDTH (um), SLIDE_HEIGHT (um), AIR_GAP (um), WD (um), DET_RAD (um), \NUMBEROFRAYS.\, \RAYS_AREA.\, \BASENUMBEROFRAYS.\, \BASERAYS_AREA.\  ,
0.59,1.43,1.52,1.768,-1,50,89.112,64.112,25,25,0,50,170,2,220,75,2,0.000113177,0,0,
0.59,1.43,1.52,1.768,-1,100,178.22,128.22,25,50,0,100,170,2,270,75,9,0.000509296,0,0,
0.59,1.43,1.52,1.768,-1,150,267.33,192.33,25,75,0,150,170,2,320,75,11,0.000622473,0,0,
0.59,1.43,1.52,1.768,-1,50,89.112,64.112,25,25,0,50,170,2,220,75,2,0.000113177,0,0,
0.59,1.43,1.52,1.768,-1,50,89.112,64.112,25,40,15,50,170,2,235,75,3,0.000169765,0,0,
0.59,1.43,1.52,1.768,-1,100,178.22,128.22,25,65,15,100,170,2,285,75,9,0.000509296,0,0,
0.59,1.43,1.52,1.768,-1,150,267.33,192.33,25,90,15,150,170,2,335,75,9,0.000509296,0,0,
0.59,1.43,1.52,1.768,-1,50,89.112,64.112,25,40,15,50,170,2,235,75,3,0.000169765,0,0,
0.59,1.43,1.52,1.768,-1,50,89.112,64.112,25,55,30,50,170,2,250,75,4,0.000226354,0,0,
0.59,1.43,1.52,1.768,-1,100,178.22,128.22,25,80,30,100,170,2,300,75,10,0.000565885,0,0,
0.59,1.43,1.52,1.768,-1,150,267.33,192.33,25,105,30,150,170,2,350,75,12,0.000679062,0,0,
0.59,1.43,1.52,1.768,-1,50,89.112,64.112,25,55,30,50,170,2,250,75,4,0.000226354,0,0,
0.59,1.43,1.52,1.768,-1,50,89.112,64.112,25,25,0,50,170,2,220,100,2,6.3662E-05,0,0,
0.59,1.43,1.52,1.768,-1,100,178.22,128.22,25,50,0,100,170,2,270,100,9,0.000286479,0,0,
0.59,1.43,1.52,1.768,-1,150,267.33,192.33,25,75,0,150,170,2,320,100,12,0.000381972,0,0,
0.59,1.43,1.52,1.768,-1,50,89.112,64.112,25,25,0,50,170,2,220,100,2,6.3662E-05,0,0,
0.59,1.43,1.52,1.768,-1,50,89.112,64.112,25,40,15,50,170,2,235,100,3,9.5493E-05,0,0,
0.59,1.43,1.52,1.768,-1,100,178.22,128.22,25,65,15,100,170,2,285,100,11,0.000350141,0,0,
0.59,1.43,1.52,1.768,-1,150,267.33,192.33,25,90,15,150,170,2,335,100,11,0.000350141,0,0,
0.59,1.43,1.52,1.768,-1,50,89.112,64.112,25,40,15,50,170,2,235,100,3,9.5493E-05,0,0,
0.59,1.43,1.52,1.768,-1,50,89.112,64.112,25,55,30,50,170,2,250,100,4,0.000127324,0,0,
0.59,1.43,1.52,1.768,-1,100,178.22,128.22,25,80,30,100,170,2,300,100,10,0.00031831,0,0,
0.59,1.43,1.52,1.768,-1,150,267.33,192.33,25,105,30,150,170,2,350,100,13,0.000413803,0,0,
0.59,1.43,1.52,1.768,-1,50,89.112,64.112,25,55,30,50,170,2,250,100,4,0.000127324,0,0,
0.59,3.45,1.43,1.768,-1,50,65.384,40.384,25,25,0,50,170,2,220,25,4,0.002037185,0,0,
0.59,3.45,1.43,1.768,-1,100,130.76,80.769,25,50,0,100,170,2,270,25,6,0.003055777,0,0,
0.59,3.45,1.43,1.768,-1,150,196.15,121.15,25,75,0,150,170,2,320,25,1,0.000509296,0,0,
0.59,3.45,1.43,1.768,-1,150,196.15,121.15,25,75,0,150,170,2,320,25,1,0.000509296,0,0,
0.59,3.45,1.43,1.768,-1,50,65.384,40.384,25,40,15,50,170,2,235,25,4,0.002037185,0,0,
0.59,3.45,1.43,1.768,-1,100,130.76,80.769,25,65,15,100,170,2,285,25,5,0.002546481,0,0,
0.59,3.45,1.43,1.768,-1,150,196.15,121.15,25,90,15,150,170,2,335,25,1,0.000509296,0,0,
0.59,3.45,1.43,1.768,-1,150,196.15,121.15,25,90,15,150,170,2,335,25,1,0.000509296,0,0,
0.59,3.45,1.43,1.768,-1,50,65.384,40.384,25,55,30,50,170,2,250,25,3,0.001527889,0,0,
0.59,3.45,1.43,1.768,-1,100,130.76,80.769,25,80,30,100,170,2,300,25,5,0.002546481,0,0,
0.59,3.45,1.43,1.768,-1,150,196.15,121.15,25,105,30,150,170,2,350,25,0,0,0,0,
0.59,3.45,1.43,1.768,-1,150,196.15,121.15,25,105,30,150,170,2,350,25,0,0,0,0,
0.59,3.45,1.43,1.768,-1,50,65.384,40.384,25,25,0,50,170,2,220,50,7,0.000891268,0,0,
0.59,3.45,1.43,1.768,-1,100,130.76,80.769,25,50,0,100,170,2,270,50,9,0.001145917,0,0,
