  
 NEG_LENS_THICK (um), NEG_LENS_DIA (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), AIR_GAP (um), DET_RAD (um) ,NUMBEROFRAYS ,BASENUMBEROFRAYS, FLUXDETECTED, BASEFLUXDETECTED    
 NEG_LENS_THICK (um), NEG_LENS_DIA (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), AIR_GAP (um), DET_RAD (um) ,NUMBEROFRAYS ,BASENUMBEROFRAYS, FLUXDETECTED, BASEFLUXDETECTED    
 30               , 100            , 1                , 1                , 2         , 50         ,127                 ,125            , 12.6999999999999992, 12.5           
 30               , 100            , 5.125            , 1                , 2         , 50         ,127                 ,131            , 12.6999999999999992, 13.1           
 30               , 100            , 9.25             , 1                , 2         , 50         ,114                 ,121            , 11.4000000000000003, 12.1           
 30               , 100            , 13.375           , 1                , 2         , 50         ,107                 ,125            , 10.6999999999999992, 12.5           
 30               , 100            , 17.5             , 1                , 2         , 50         ,104                 ,111            , 10.4000000000000003, 11.1           
 30               , 100            , 21.625           , 1                , 2         , 50         ,96                  ,135            , 9.59999900000000039, 13.5           
 30               , 100            , 25.75            , 1                , 2         , 50         ,88                  ,114            , 8.79999899999999968, 11.4           
 30               , 100            , 29.875           , 1                , 2         , 50         ,77                  ,124            , 7.70000000000000017, 12.4           
 30               , 100            , 34               , 1                , 2         , 50         ,70                  ,117            , 7                  , 11.7           
 30               , 100            , 38.125           , 1                , 2         , 50         ,63                  ,130            , 6.29999999999999982, 13             
 30               , 100            , 42.25            , 1                , 2         , 50         ,58                  ,133            , 5.79999999999999982, 13.3           
 30               , 100            , 46.375           , 1                , 2         , 50         ,49                  ,118            , 4.90000000000000035, 11.8           
 30               , 100            , 50.5             , 1                , 2         , 50         ,50                  ,122            , 5                  , 12.2           
 30               , 100            , 54.625           , 1                , 2         , 50         ,46                  ,112            , 4.59999999999999964, 11.2           
 30               , 100            , 58.75            , 1                , 2         , 50         ,42                  ,107            , 4.20000000000000017, 10.7           
 30               , 100            , 62.875           , 1                , 2         , 50         ,40                  ,95             , 4                  , 9.499999       
 30               , 100            , 67               , 1                , 2         , 50         ,37                  ,83             , 3.70000000000000017, 8.3            
 30               , 100            , 71.125           , 1                , 2         , 50         ,35                  ,72             , 3.5                , 7.2            
 30               , 100            , 75.25            , 1                , 2         , 50         ,32                  ,70             , 3.20000000000000017, 7              
 30               , 100            , 79.375           , 1                , 2         , 50         ,30                  ,63             , 3                  , 6.3            
 30               , 100            , 83.5             , 1                , 2         , 50         ,28                  ,51             , 2.79999999999999982, 5.1            
 30               , 100            , 87.625           , 1                , 2         , 50         ,26                  ,56             , 2.60000000000000008, 5.6            
 30               , 100            , 91.75            , 1                , 2         , 50         ,22                  ,57             , 2.20000000000000017, 5.7            
 30               , 100            , 95.875           , 1                , 2         , 50         ,22                  ,55             , 2.20000000000000017, 5.5            
 30               , 100            , 100              , 1                , 2         , 50         ,20                  ,51             , 2                  , 5.1            
 30               , 100            , 83.5             , 1                , 2         , 50         ,28                  ,51             , 2.79999999999999982, 5.1            
 EM_WAVE,.59       
          
 NEG_LENS_THICK (um), NEG_LENS_DIA (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), AIR_GAP (um), DET_RAD (um) ,NUMBEROFRAYS ,BASENUMBEROFRAYS, FLUXDETECTED, BASEFLUXDETECTED    
 30               , 100            , 40               , 0                , 2         , 50         ,65                  ,38             , 6.5                , 3.8            
 30               , 100            , 40               , 10               , 2         , 50         ,52                  ,113            , 5.20000000000000017, 11.3           
 30               , 100            , 40               , 20               , 2         , 50         ,45                  ,118            , 4.5                , 11.8           
 30               , 100            , 40               , 30               , 2         , 50         ,35                  ,111            , 3.5                , 11.1           
 30               , 100            , 40               , 40               , 2         , 50         ,30                  ,112            , 3                  , 11.2           
 30               , 100            , 40               , 50               , 2         , 50         ,26                  ,114            , 2.60000000000000008, 11.4           
 30               , 100            , 40               , 60               , 2         , 50         ,21                  ,127            , 2.10000000000000008, 12.7           
 30               , 100            , 40               , 70               , 2         , 50         ,17                  ,102            , 1.69999999999999995, 10.2           
 30               , 100            , 40               , 80               , 2         , 50         ,14                  ,100            , 1.39999999999999991, 9.999999       
 30               , 100            , 40               , 90               , 2         , 50         ,12                  ,80             , 1.19999999999999995, 8              
 30               , 100            , 40               , 100              , 2         , 50         ,12                  ,41             , 1.19999999999999995, 4.1            
 30               , 100            , 40               , 0                , 2         , 50         ,65                  ,38             , 6.5                , 3.8            
 EM_WAVE,.59       
          
 NEG_LENS_THICK (um), NEG_LENS_DIA (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), AIR_GAP (um), DET_RAD (um) ,NUMBEROFRAYS ,BASENUMBEROFRAYS, FLUXDETECTED, BASEFLUXDETECTED    
 30               , 10             , 40               , 0                , 2         , 50         ,65                  ,66             , 6.5                , 6.6            
 30               , 20             , 40               , 0                , 2         , 50         ,65                  ,60             , 6.5                , 6              
 30               , 30             , 40               , 0                , 2         , 50         ,65                  ,55             , 6.5                , 5.5            
 30               , 40             , 40               , 0                , 2         , 50         ,65                  ,43             , 6.5                , 4.3            
 30               , 50             , 40               , 0                , 2         , 50         ,65                  ,33             , 6.5                , 3.3            
 30               , 60             , 40               , 0                , 2         , 50         ,65                  ,22             , 6.5                , 2.2            
 30               , 70             , 40               , 0                , 2         , 50         ,65                  ,26             , 6.5                , 2.6            
 30               , 80             , 40               , 0                , 2         , 50         ,65                  ,31             , 6.5                , 3.1            
 30               , 90             , 40               , 0                , 2         , 50         ,65                  ,35             , 6.5                , 3.5            
 30               , 100            , 40               , 0                , 2         , 50         ,65                  ,38             , 6.5                , 3.8            
 30               , 110            , 40               , 0                , 2         , 50         ,65                  ,44             , 6.5                , 4.4            
 30               , 120            , 40               , 0                , 2         , 50         ,65                  ,46             , 6.5                , 4.6            
 30               , 130            , 40               , 0                , 2         , 50         ,65                  ,47             , 6.5                , 4.7            
 30               , 140            , 40               , 0                , 2         , 50         ,65                  ,46             , 6.5                , 4.6            
 30               , 150            , 40               , 0                , 2         , 50         ,65                  ,45             , 6.5                , 4.5            
 30               , 160            , 40               , 0                , 2         , 50         ,65                  ,45             , 6.5                , 4.5            
 30               , 170            , 40               , 0                , 2         , 50         ,65                  ,47             , 6.5                , 4.7            
 30               , 180            , 40               , 0                , 2         , 50         ,65                  ,44             , 6.5                , 4.4            
 30               , 190            , 40               , 0                , 2         , 50         ,65                  ,46             , 6.5                , 4.6            
 30               , 200            , 40               , 0                , 2         , 50         ,65                  ,44             , 6.5                , 4.4            
 30               , 60             , 40               , 0                , 2         , 50         ,65                  ,22             , 6.5                , 2.2            
 EM_WAVE,.59       
          
 NEG_LENS_THICK (um), NEG_LENS_DIA (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), AIR_GAP (um), DET_RAD (um) ,NUMBEROFRAYS ,BASENUMBEROFRAYS, FLUXDETECTED, BASEFLUXDETECTED    
 30               , 10             , 40               , 10               , 2         , 50         ,52                  ,55             , 5.20000000000000017, 5.5            
 30               , 20             , 40               , 10               , 2         , 50         ,52                  ,56             , 5.20000000000000017, 5.6            
 30               , 30             , 40               , 10               , 2         , 50         ,52                  ,59             , 5.20000000000000017, 5.9            
 30               , 40             , 40               , 10               , 2         , 50         ,52                  ,57             , 5.20000000000000017, 5.7            
 30               , 50             , 40               , 10               , 2         , 50         ,52                  ,59             , 5.20000000000000017, 5.9            
 30               , 60             , 40               , 10               , 2         , 50         ,52                  ,71             , 5.20000000000000017, 7.1            
 30               , 70             , 40               , 10               , 2         , 50         ,52                  ,85             , 5.20000000000000017, 8.499999       
 30               , 80             , 40               , 10               , 2         , 50         ,52                  ,100            , 5.20000000000000017, 9.999999       
 30               , 90             , 40               , 10               , 2         , 50         ,52                  ,104            , 5.20000000000000017, 10.4           
 30               , 100            , 40               , 10               , 2         , 50         ,52                  ,113            , 5.20000000000000017, 11.3           
 30               , 110            , 40               , 10               , 2         , 50         ,52                  ,126            , 5.20000000000000017, 12.6           
 30               , 120            , 40               , 10               , 2         , 50         ,52                  ,122            , 5.20000000000000017, 12.2           
 30               , 130            , 40               , 10               , 2         , 50         ,52                  ,119            , 5.20000000000000017, 11.9           
 30               , 140            , 40               , 10               , 2         , 50         ,52                  ,131            , 5.20000000000000017, 13.1           
 30               , 150            , 40               , 10               , 2         , 50         ,52                  ,129            , 5.20000000000000017, 12.9           
 30               , 160            , 40               , 10               , 2         , 50         ,52                  ,127            , 5.20000000000000017, 12.7           
 30               , 170            , 40               , 10               , 2         , 50         ,52                  ,119            , 5.20000000000000017, 11.9           
 30               , 180            , 40               , 10               , 2         , 50         ,52                  ,123            , 5.20000000000000017, 12.3           
 30               , 190            , 40               , 10               , 2         , 50         ,52                  ,133            , 5.20000000000000017, 13.3           
 30               , 200            , 40               , 10               , 2         , 50         ,52                  ,129            , 5.20000000000000017, 12.9           
 30               , 10             , 40               , 10               , 2         , 50         ,52                  ,55             , 5.20000000000000017, 5.5            
 EM_WAVE,.59       
          
 N_NEG, NEG_LENS_THICK (um), NEG_LENS_DIA (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), AIR_GAP (um), DET_RAD (um) ,NUMBEROFRAYS ,BASENUMBEROFRAYS, FLUXDETECTED, BASEFLUXDETECTED    
 -2      , 30               , 100            , 40               , 10               , 2         , 50         ,52                  ,125            , 5.20000000000000017, 12.5           
 -1.78   , 30               , 100            , 40               , 10               , 2         , 50         ,52                  ,121            , 5.20000000000000017, 12.1           
 -1.56   , 30               , 100            , 40               , 10               , 2         , 50         ,52                  ,127            , 5.20000000000000017, 12.7           
 -1.34   , 30               , 100            , 40               , 10               , 2         , 50         ,52                  ,123            , 5.20000000000000017, 12.3           
 -1.12   , 30               , 100            , 40               , 10               , 2         , 50         ,52                  ,128            , 5.20000000000000017, 12.8           
 -.9     , 30               , 100            , 40               , 10               , 2         , 50         ,52                  ,89             , 5.20000000000000017, 8.899999       
 -.68    , 30               , 100            , 40               , 10               , 2         , 50         ,52                  ,53             , 5.20000000000000017, 5.3            
 -.46    , 30               , 100            , 40               , 10               , 2         , 50         ,52                  ,25             , 5.20000000000000017, 2.5            
 -.24    , 30               , 100            , 40               , 10               , 2         , 50         ,52                  ,6              , 5.20000000000000017, .6             
 -.02    , 30               , 100            , 40               , 10               , 2         , 50         ,52                  ,0              , 5.20000000000000017, 0              
 -.02    , 30               , 100            , 40               , 10               , 2         , 50         ,52                  ,0              , 5.20000000000000017, 0              
 EM_WAVE,.59       
          
 N_NEG, NEG_LENS_THICK (um), NEG_LENS_DIA (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), AIR_GAP (um), DET_RAD (um), BASENUMBEROFRAYS ,NUMBEROFRAYS, BASEFLUXDETECTED, FLUXDETECTED    
 -.7     , 10               , 100            , 40               , 10               , 2         , 50         ,76                  ,56             , 7.59999999999999964, 5.6            
 -.7     , 20               , 100            , 40               , 10               , 2         , 50         ,65                  ,56             , 6.5                , 5.6            
 -.7     , 30               , 100            , 40               , 10               , 2         , 50         ,52                  ,51             , 5.20000000000000017, 5.1            
 -.7     , 40               , 100            , 40               , 10               , 2         , 50         ,45                  ,50             , 4.5                , 5              
 -.7     , 50               , 100            , 40               , 10               , 2         , 50         ,35                  ,46             , 3.5                , 4.6            
 -.7     , 60               , 100            , 40               , 10               , 2         , 50         ,30                  ,37             , 3                  , 3.7            
 -.7     , 70               , 100            , 40               , 10               , 2         , 50         ,26                  ,35             , 2.60000000000000008, 3.5            
 -.7     , 80               , 100            , 40               , 10               , 2         , 50         ,21                  ,29             , 2.10000000000000008, 2.9            
 -.7     , 90               , 100            , 40               , 10               , 2         , 50         ,17                  ,24             , 1.69999999999999995, 2.4            
 -.7     , 100              , 100            , 40               , 10               , 2         , 50         ,14                  ,18             , 1.39999999999999991, 1.8            
 -.7     , 110              , 100            , 40               , 10               , 2         , 50         ,12                  ,16             , 1.19999999999999995, 1.6            
 -.7     , 120              , 100            , 40               , 10               , 2         , 50         ,12                  ,16             , 1.19999999999999995, 1.6            
 -.7     , 130              , 100            , 40               , 10               , 2         , 50         ,12                  ,14             , 1.19999999999999995, 1.4            
 -.7     , 140              , 100            , 40               , 10               , 2         , 50         ,11                  ,9              , 1.10000000000000008, .8999999       
 -.7     , 150              , 100            , 40               , 10               , 2         , 50         ,11                  ,5              , 1.10000000000000008, .5             
 -.7     , 160              , 100            , 40               , 10               , 2         , 50         ,10                  ,6              , .999999900000000052, .6             
 -.7     , 170              , 100            , 40               , 10               , 2         , 50         ,9                   ,8              , .899999899999999963, .8             
 -.7     , 180              , 100            , 40               , 10               , 2         , 50         ,9                   ,7              , .899999899999999963, .7             
 -.7     , 190              , 100            , 40               , 10               , 2         , 50         ,9                   ,4              , .899999899999999963, .4             
 -.7     , 200              , 100            , 40               , 10               , 2         , 50         ,10                  ,5              , .999999900000000052, .5             
 -.7     , 190              , 100            , 40               , 10               , 2         , 50         ,9                   ,4              , .899999899999999963, .4             
 EM_WAVE,.59       
          
 N_NEG, NEG_LENS_THICK (um), NEG_LENS_DIA (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), AIR_GAP (um), DET_RAD (um), BASENUMBEROFRAYS ,NUMBEROFRAYS, BASEFLUXDETECTED, FLUXDETECTED    
 -.7     , 50               , 100            , 0                , 10               , 2         , 50         ,76                  ,0              , 7.59999999999999964, 0              
 -.7     , 50               , 100            , 10               , 10               , 2         , 50         ,65                  ,41             , 6.5                , 4.1            
 -.7     , 50               , 100            , 20               , 10               , 2         , 50         ,52                  ,47             , 5.20000000000000017, 4.7            
 -.7     , 50               , 100            , 30               , 10               , 2         , 50         ,45                  ,41             , 4.5                , 4.1            
 -.7     , 50               , 100            , 40               , 10               , 2         , 50         ,35                  ,46             , 3.5                , 4.6            
 -.7     , 50               , 100            , 50               , 10               , 2         , 50         ,30                  ,44             , 3                  , 4.4            
 -.7     , 50               , 100            , 60               , 10               , 2         , 50         ,26                  ,46             , 2.60000000000000008, 4.6            
 -.7     , 50               , 100            , 70               , 10               , 2         , 50         ,21                  ,59             , 2.10000000000000008, 5.9            
 -.7     , 50               , 100            , 80               , 10               , 2         , 50         ,17                  ,49             , 1.69999999999999995, 4.9            
 -.7     , 50               , 100            , 90               , 10               , 2         , 50         ,14                  ,49             , 1.39999999999999991, 4.9            
 -.7     , 50               , 100            , 100              , 10               , 2         , 50         ,12                  ,51             , 1.19999999999999995, 5.1            
 -.7     , 50               , 100            , 0                , 10               , 2         , 50         ,76                  ,0              , 7.59999999999999964, 0              
