 description: 2/6/15, http://fp.optics.arizona.edu/Nofziger/OPTI%20202L/MG%20Gradient-Index_lenses.pdf
 N_LENS_CORE, ANGLE (rad), SQRTA, A0, PITCH (um), LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 2.1           , .03027612519, .0005766, 0    , 10891.43, 50          , 108.9143253555, 20                , 20               , 31.25     , 0                   , 7              , 0                  , 7                 
 2.1           , .03192542296, .000608 , 0    , 10328.94, 50          , 103.2894736842, 20                , 20               , 31.25     , 0                   , 8              , 0                  , 8                 
 2.1           , .01708433106, .0003254, 0    , 19299.32, 50          , 192.9932390903, 20                , 20               , 31.25     , 0                   , 6              , 0                  , 6                 
 EM_WAVE,.59       ,AIR_GAP, 2          
          
 description: 2/6/15, http://fp.optics.arizona.edu/Nofziger/OPTI%20202L/MG%20Gradient-Index_lenses.pdf
 N_LENS_CORE, ANGLE (rad), SQRTA, A0, PITCH (um), LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 2.1           , .01543561293, .000294 , 0    , 21360.54, 50          , 534.0136054421, 20                , 20               , 31.25     , 0                   , 11             , 0                  , 11                
 2.1           , .01708433106, .0003254, 0    , 19299.32, 50          , 482.4830977258, 20                , 20               , 31.25     , 0                   , 6              , 0                  , 6                 
 2.1           , .01873309564, .0003568, 0    , 17600.89, 50          , 440.0224215246, 20                , 20               , 31.25     , 0                   , 10             , 0                  , 10                
 2.1           , .02038191115, .0003882, 0    , 16177.22, 50          , 404.4307058217, 20                , 20               , 31.25     , 0                   , 10             , 0                  , 10                
 2.1           , .02203078208, .0004196, 0    , 14966.63, 50          , 374.1658722592, 20                , 20               , 31.25     , 0                   , 8              , 0                  , 8                 
 2.1           , .02367971292, .000451 , 0    , 13924.61, 50          , 348.1152993348, 20                , 20               , 31.25     , 0                   , 9              , 0                  , 9                 
 2.1           , .02532870815, .0004824, 0    , 13018.24, 50          , 325.4560530679, 20                , 20               , 31.25     , 0                   , 9              , 0                  , 9                 
 2.1           , .02697777228, .0005138, 0    , 12222.65, 50          , 305.5663682366, 20                , 20               , 31.25     , 0                   , 7              , 0                  , 7                 
 2.1           , .02862690979, .0005452, 0    , 11518.7 , 50          , 287.9677182685, 20                , 20               , 31.25     , 0                   , 7              , 0                  , 7                 
 2.1           , .03027612519, .0005766, 0    , 10891.43, 50          , 272.2858133888, 20                , 20               , 31.25     , 0                   , 7              , 0                  , 7                 
 2.1           , .03192542296, .000608 , 0    , 10328.94, 50          , 258.2236842105, 20                , 20               , 31.25     , 0                   , 8              , 0                  , 8                 
 2.1           , .01708433106, .0003254, 0    , 19299.32, 50          , 482.4830977258, 20                , 20               , 31.25     , 0                   , 6              , 0                  , 6                 
 EM_WAVE,.59       ,AIR_GAP, 2          
          
 description: 2/6/15, http://fp.optics.arizona.edu/Nofziger/OPTI%20202L/MG%20Gradient-Index_lenses.pdf
 N_LENS_CORE, ANGLE (rad), SQRTA, A0, PITCH (um), LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 2.1           , .01543561293, .000294 , 0    , 21360.54, 50          , 534.0136054421, 20                , 20               , 18.75     , 0                   , 9              , 0                  , 9                 
 2.1           , .01708433106, .0003254, 0    , 19299.32, 50          , 482.4830977258, 20                , 20               , 18.75     , 0                   , 5              , 0                  , 5                 
 2.1           , .01873309564, .0003568, 0    , 17600.89, 50          , 440.0224215246, 20                , 20               , 18.75     , 0                   , 6              , 0                  , 6                 
 2.1           , .02038191115, .0003882, 0    , 16177.22, 50          , 404.4307058217, 20                , 20               , 18.75     , 0                   , 7              , 0                  , 7                 
 2.1           , .02203078208, .0004196, 0    , 14966.63, 50          , 374.1658722592, 20                , 20               , 18.75     , 0                   , 5              , 0                  , 5                 
 2.1           , .02367971292, .000451 , 0    , 13924.61, 50          , 348.1152993348, 20                , 20               , 18.75     , 0                   , 5              , 0                  , 5                 
 2.1           , .02532870815, .0004824, 0    , 13018.24, 50          , 325.4560530679, 20                , 20               , 18.75     , 0                   , 8              , 0                  , 8                 
 2.1           , .02697777228, .0005138, 0    , 12222.65, 50          , 305.5663682366, 20                , 20               , 18.75     , 0                   , 5              , 0                  , 5                 
 2.1           , .02862690979, .0005452, 0    , 11518.7 , 50          , 287.9677182685, 20                , 20               , 18.75     , 0                   , 6              , 0                  , 6                 
 2.1           , .03027612519, .0005766, 0    , 10891.43, 50          , 272.2858133888, 20                , 20               , 18.75     , 0                   , 6              , 0                  , 6                 
