      
          
 N_LENS_CORE, A0, LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 N_LENS_CORE, A0, LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 1.7           , -.005,100         , 50            , 10                , 50               , 50        , 30                  , 33             , 3                  , 3.2999999999999998
 1.7           , -.02 ,100         , 50            , 10                , 50               , 50        , 30                  , 11             , 3                  , 1.1               
 1.7           , -.045,100         , 50            , 10                , 50               , 50        , 30                  , 0              , 3                  , 0                 
 1.7           , -.045,100         , 50            , 10                , 50               , 50        , 30                  , 0              , 3                  , 0                 
 EM_WAVE,.59       ,AIR_GAP, 2          
          
 N_LENS_CORE, A0, LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 1.7           , -.005,100         , 4.964775926464, 1.860163329510811 , 50               , 50        , 92                  , 86             , 9.19999900000000003, 8.5999990000000003
 1.7           , -.005,100         , 4.964775926464, 1.860163329510811 , 50               , 50        , 92                  , 86             , 9.19999900000000003, 8.5999990000000003
 1.7           , -.005,100         , 4.964775926464, 1.860163329510811 , 50               , 50        , 92                  , 86             , 9.19999900000000003, 8.5999990000000003
 1.7           , -.005,100         , 4.964775926464, 1.860163329510811 , 50               , 50        , 92                  , 86             , 9.19999900000000003, 8.5999990000000003
 EM_WAVE,.59       ,AIR_GAP, 2          
          
 N_LENS_CORE, A0, LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 1.7           , -.005,100         , 4.964775926464, .0014812977456159 , 50               , 50        , 89                  , 98             , 8.89999899999999932, 9.7999989999999996
 1.7           , -.011,100         , 4.05372256903 , .0012094745446314 , 50               , 50        , 95                  , 36             , 9.49999900000000074, 3.6               
 1.7           , -.02 ,100         , 3.510626724674, .0010474356808814 , 50               , 50        , 99                  , 29             , 9.89999899999999932, 2.8999999999999999
 1.7           , -.031,100         , 3.14          , .0009368549538038 , 50               , 50        , 96                  , 15             , 9.59999900000000039, 1.5               
 1.7           , -.045,100         , 2.86641471761 , .0008552276521813 , 50               , 50        , 99                  , 7              , 9.89999899999999932, .69999999999999995
