      
          
 N_LENS_CORE, A0, LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 N_LENS_CORE, A0, LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 2.1           , 0    ,50          , 49.64775926464, .0119914617428115 , 25               , 25        , 15                  , 143            , 1.5                , 14.3              
 2.1           , 0    ,50          , 35.10626724674, .0084792439146834 , 25               , 25        , 20                  , 95             , 2                  , 9.4999990000000007
 2.1           , -.001,50          , 28.6641471761 , .0069232736651893 , 25               , 25        , 24                  , 88             , 2.39999999999999991, 8.7999989999999996
 2.1           , -.002,50          , 24.82387963232, .0059957308714057 , 25               , 25        , 29                  , 69             , 2.89999999999999991, 6.9000000000000003
 2.1           , -.002,50          , 22.20315292925, .0053627447213029 , 25               , 25        , 29                  , 67             , 2.89999999999999991, 6.7000000000000001
 2.1           , -.003,50          , 20.26861284515, .0048954937566656 , 25               , 25        , 33                  , 47             , 3.29999999999999982, 4.7000000000000001
 2.1           , -.003,50          , 18.76508916655, .0045323465182320 , 25               , 25        , 32                  , 57             , 3.20000000000000017, 5.7000000000000001
 2.1           , -.004,50          , 17.55313362337, .0042396219573417 , 25               , 25        , 34                  , 34             , 3.39999999999999991, 3.3999999999999999
 2.1           , -.004,50          , 16.54925308821, .0039971539142705 , 25               , 25        , 32                  , 43             , 3.20000000000000017, 4.2999999999999998
 2.1           , -.005,50          , 15.7          , .0037920331582056 , 25               , 25        , 35                  , 40             , 3.5                , 4                 
 2.1           , -.004,50          , 17.55313362337, .0042396219573417 , 25               , 25        , 34                  , 34             , 3.39999999999999991, 3.3999999999999999
 EM_WAVE,.59       ,AIR_GAP, 2          
          
 a0 = -0.5 x a^2, height = 0.25 x pitch
 N_LENS_CORE, A0, LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 2.1           , 0    ,50          , 49.64775926464, .0119914617428115 , 25               , 25        , 15                  , 92             , 1.5                , 9.199999          
 2.1           , 0    ,50          , 35.10626724674, .0084792439146834 , 25               , 25        , 20                  , 69             , 2                  , 6.9000000000000003
 2.1           , 0    ,50          , 28.6641471761 , .0069232736651893 , 25               , 25        , 24                  , 65             , 2.39999999999999991, 6.5               
 2.1           , 0    ,50          , 24.82387963232, .0059957308714057 , 25               , 25        , 29                  , 73             , 2.89999999999999991, 7.2999999999999998
 2.1           , 0    ,50          , 22.20315292925, .0053627447213029 , 25               , 25        , 29                  , 69             , 2.89999999999999991, 6.9000000000000003
 2.1           , 0    ,50          , 20.26861284515, .0048954937566656 , 25               , 25        , 33                  , 70             , 3.29999999999999982, 7                 
 2.1           , 0    ,50          , 18.76508916655, .0045323465182320 , 25               , 25        , 32                  , 68             , 3.20000000000000017, 6.7999999999999998
 2.1           , 0    ,50          , 17.55313362337, .0042396219573417 , 25               , 25        , 34                  , 73             , 3.39999999999999991, 7.2999999999999998
 2.1           , 0    ,50          , 16.54925308821, .0039971539142705 , 25               , 25        , 32                  , 57             , 3.20000000000000017, 5.7000000000000001
 2.1           , 0    ,50          , 15.7          , .0037920331582056 , 25               , 25        , 35                  , 78             , 3.5                , 7.7999999999999998
 2.1           , 0    ,50          , 16.54925308821, .0039971539142705 , 25               , 25        , 32                  , 57             , 3.20000000000000017, 5.7000000000000001
 EM_WAVE,.59       ,AIR_GAP, 2          
          
 a0 = -0.5 x a^2, height = 0.75 x pitch
 N_LENS_CORE, A0, LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 2.1           , 0    ,50          , 148.9432777939, .0359744460623417 , 25               , 25        , 4                   , 93             , .400000000000000022, 9.2999989999999996
 2.1           , 0    ,50          , 105.3188017402, .0254377747601209 , 25               , 25        , 6                   , 104            , .599999999999999977, 10.4              
 2.1           , 0    ,50          , 85.99244152831, .0207698561180483 , 25               , 25        , 8                   , 107            , .800000000000000044, 10.699999999999999
 2.1           , 0    ,50          , 74.47163889696, .0179872230311708 , 25               , 25        , 9                   , 91             , .899999899999999963, 9.0999990000000003
 2.1           , 0    ,50          , 66.60945878777, .0160882613696651 , 25               , 25        , 9                   , 98             , .899999899999999963, 9.7999989999999996
 2.1           , 0    ,50          , 60.80583853545, .0146865061053409 , 25               , 25        , 12                  , 102            , 1.19999999999999995, 10.199999999999999
 2.1           , 0    ,50          , 56.29526749965, .0135970625477569 , 25               , 25        , 12                  , 96             , 1.19999999999999995, 9.5999990000000003
 2.1           , 0    ,50          , 52.65940087012, .0127188873800604 , 25               , 25        , 14                  , 101            , 1.39999999999999991, 10.099999999999999
 2.1           , 0    ,50          , 49.64775926464, .0119914820207850 , 25               , 25        , 15                  , 90             , 1.5                , 8.9999990000000007
 2.1           , 0    ,50          , 47.1          , .0113761187119917 , 25               , 25        , 16                  , 97             , 1.60000000000000008, 9.699999          
 2.1           , 0    ,50          , 49.64775926464, .0119914820207850 , 25               , 25        , 15                  , 90             , 1.5                , 8.9999990000000007
 EM_WAVE,.59       ,AIR_GAP, 2          
          
 a0 = -0.5 x a^2, height = 0.75 x pitch
 N_LENS_CORE, A0, LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 2.1           , 0    ,350         , 49.64775926464, 1                 , 175              , 175       , 95                  , 106            , 9.49999900000000074, 10.599999999999999
 2.1           , 0    ,350         , 35.10626724674, 1                 , 175              , 175       , 99                  , 126            , 9.89999899999999932, 12.599999999999999
 2.1           , 0    ,350         , 28.6641471761 , 1                 , 175              , 175       , 98                  , 119            , 9.79999899999999968, 11.9              
 2.1           , 0    ,350         , 24.82387963232, 1                 , 175              , 175       , 115                 , 129            , 11.5               , 12.9              
 2.1           , 0    ,350         , 22.20315292925, 1                 , 175              , 175       , 108                 , 138            , 10.8000000000000007, 13.8              
 2.1           , 0    ,350         , 20.26861284515, 1                 , 175              , 175       , 109                 , 136            , 10.9000000000000003, 13.599999999999999
 2.1           , 0    ,350         , 18.76508916655, 1                 , 175              , 175       , 111                 , 135            , 11.0999999999999996, 13.5              
 2.1           , 0    ,350         , 17.55313362337, 1                 , 175              , 175       , 111                 , 141            , 11.0999999999999996, 14.099999999999999
 2.1           , 0    ,350         , 16.54925308821, 1                 , 175              , 175       , 111                 , 148            , 11.0999999999999996, 14.8              
 2.1           , 0    ,350         , 15.7          , 1                 , 175              , 175       , 111                 , 158            , 11.0999999999999996, 15.8              
 2.1           , 0    ,350         , 49.64775926464, 1                 , 175              , 175       , 95                  , 106            , 9.49999900000000074, 10.599999999999999
 EM_WAVE,.59       ,AIR_GAP, 2          
          
 a0 = -0.5 x a^2, height = 780
 N_LENS_CORE, A0, LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 2.1           , -2   ,350         , 780           , 1                 , 175              , 175       , 6                   , 1              , .599999999999999977, .09999998999999999
 2.1           , -2.4 ,350         , 780           , 1                 , 175              , 175       , 6                   , 1              , .599999999999999977, .09999998999999999
 2.1           , -2.9 ,350         , 780           , 1                 , 175              , 175       , 6                   , 1              , .599999999999999977, .09999998999999999
 2.1           , -3.5 ,350         , 780           , 1                 , 175              , 175       , 6                   , 1              , .599999999999999977, .09999998999999999
 2.1           , -4.1 ,350         , 780           , 1                 , 175              , 175       , 6                   , 1              , .599999999999999977, .09999998999999999
 2.1           , -4.8 ,350         , 780           , 1                 , 175              , 175       , 6                   , 1              , .599999999999999977, .09999998999999999
 2.1           , -5.5 ,350         , 780           , 1                 , 175              , 175       , 6                   , 1              , .599999999999999977, .09999998999999999
 2.1           , -6.3 ,350         , 780           , 1                 , 175              , 175       , 6                   , 1              , .599999999999999977, .09999998999999999
 2.1           , -7.1 ,350         , 780           , 1                 , 175              , 175       , 6                   , 1              , .599999999999999977, .09999998999999999
 2.1           , -8   ,350         , 780           , 1                 , 175              , 175       , 6                   , 1              , .599999999999999977, .09999998999999999
 2.1           , -2   ,350         , 780           , 1                 , 175              , 175       , 6                   , 1              , .599999999999999977, .09999998999999999
 EM_WAVE,.59       ,AIR_GAP, 2          
          
 a0 = -0.5 x a^2, height = 780
 N_LENS_CORE, A0, LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 2.1           , 0    ,350         , 780           , 1                 , 175              , 175       , 6                   , 126            , .599999999999999977, 12.599999999999999
 2.1           , 0    ,350         , 780           , 1                 , 175              , 175       , 6                   , 157            , .599999999999999977, 15.699999999999999
 2.1           , 0    ,350         , 780           , 1                 , 175              , 175       , 6                   , 207            , .599999999999999977, 20.699999999999999
 2.1           , 0    ,350         , 780           , 1                 , 175              , 175       , 6                   , 149            , .599999999999999977, 14.9              
 2.1           , 0    ,350         , 780           , 1                 , 175              , 175       , 6                   , 378            , .599999999999999977, 37.799999999999997
 2.1           , 0    ,350         , 780           , 1                 , 175              , 175       , 6                   , 272            , .599999999999999977, 27.199999999999999
 2.1           , 0    ,350         , 780           , 1                 , 175              , 175       , 6                   , 186            , .599999999999999977, 18.600000000000001
 2.1           , 0    ,350         , 780           , 1                 , 175              , 175       , 6                   , 346            , .599999999999999977, 34.600000000000001
 2.1           , 0    ,350         , 780           , 1                 , 175              , 175       , 6                   , 280            , .599999999999999977, 28                
 2.1           , 0    ,350         , 780           , 1                 , 175              , 175       , 6                   , 231            , .599999999999999977, 23.100000000000001
 2.1           , 0    ,350         , 780           , 1                 , 175              , 175       , 6                   , 126            , .599999999999999977, 12.599999999999999
 EM_WAVE,.59       ,AIR_GAP, 2          
          
 a0 = -0.5 x a^2, height = 0.25 x pitch
 N_LENS_CORE, A0, LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 2.1           , 0    ,350         , 49.64775926464, 1                 , 175              , 175       , 95                  , 106            , 9.49999900000000074, 10.599999999999999
 2.1           , 0    ,350         , 35.10626724674, 1                 , 175              , 175       , 99                  , 126            , 9.89999899999999932, 12.599999999999999
 2.1           , 0    ,350         , 28.6641471761 , 1                 , 175              , 175       , 98                  , 119            , 9.79999899999999968, 11.9              
 2.1           , 0    ,350         , 24.82387963232, 1                 , 175              , 175       , 115                 , 129            , 11.5               , 12.9              
 2.1           , 0    ,350         , 22.20315292925, 1                 , 175              , 175       , 108                 , 138            , 10.8000000000000007, 13.8              
 2.1           , 0    ,350         , 20.26861284515, 1                 , 175              , 175       , 109                 , 136            , 10.9000000000000003, 13.599999999999999
 2.1           , 0    ,350         , 18.76508916655, 1                 , 175              , 175       , 111                 , 135            , 11.0999999999999996, 13.5              
 2.1           , 0    ,350         , 17.55313362337, 1                 , 175              , 175       , 111                 , 141            , 11.0999999999999996, 14.099999999999999
 2.1           , 0    ,350         , 16.54925308821, 1                 , 175              , 175       , 111                 , 148            , 11.0999999999999996, 14.8              
 2.1           , 0    ,350         , 15.7          , 1                 , 175              , 175       , 111                 , 158            , 11.0999999999999996, 15.8              
 2.1           , 0    ,350         , 49.64775926464, 1                 , 175              , 175       , 95                  , 106            , 9.49999900000000074, 10.599999999999999
 EM_WAVE,.59       ,AIR_GAP, 2          
          
 N_LENS_CORE, A0, LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 2.1           , 0    ,350         , 1570          , 1                 , 175              , 175       , 8                   , 99             , .800000000000000044, 9.8999989999999993
 2.1           , 0    ,350         , 785           , 1                 , 175              , 175       , 8                   , 149            , .800000000000000044, 14.9              
 2.1           , 0    ,350         , 523.3333333333, 1                 , 175              , 175       , 12                  , 203            , 1.19999999999999995, 20.3              
 2.1           , 0    ,350         , 392.5         , 1                 , 175              , 175       , 12                  , 318            , 1.19999999999999995, 31.8              
 2.1           , 0    ,350         , 314           , 1                 , 175              , 175       , 22                  , 347            , 2.20000000000000017, 34.700000000000002
 2.1           , 0    ,350         , 261.6666666666, 1                 , 175              , 175       , 31                  , 351            , 3.10000000000000008, 35.100000000000001
 2.1           , 0    ,350         , 224.2857142857, 1                 , 175              , 175       , 33                  , 333            , 3.29999999999999982, 33.299999999999997
 2.1           , 0    ,350         , 196.25        , 1                 , 175              , 175       , 39                  , 286            , 3.89999999999999991, 28.600000000000001
 2.1           , 0    ,350         , 174.4444444444, 1                 , 175              , 175       , 44                  , 317            , 4.40000000000000035, 31.699999999999999
 2.1           , 0    ,350         , 157           , 1                 , 175              , 175       , 46                  , 281            , 4.59999999999999964, 28.100000000000001
 2.1           , 0    ,350         , 1570          , 1                 , 175              , 175       , 8                   , 99             , .800000000000000044, 9.8999989999999993
 EM_WAVE,.59       ,AIR_GAP, 2          
          
 N_LENS_CORE, A0, LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 2.1           , 0    ,350         , 157           , 1                 , 175              , 175       , 46                  , 281            , 4.59999999999999964, 28.100000000000001
 2.1           , -.026,350         , 6.793269230769, 1                 , 175              , 175       , 114                 , 22             , 11.4000000000000003, 2.2000000000000001
 2.1           , -.1  ,350         , 3.471744471744, 1                 , 175              , 175       , 119                 , 3              , 11.9000000000000003, .29999999999999998
 2.1           , -.22 ,350         , 2.331683168316, 1                 , 175              , 175       , 123                 , 1              , 12.3000000000000007, .09999998999999999
 2.1           , -.4  ,350         , 1.755279503105, 1                 , 175              , 175       , 118                 , 0              , 11.8000000000000007, 0                 
 2.1           , -.62 ,350         , 1.407370517928, 1                 , 175              , 175       , 117                 , 0              , 11.6999999999999992, 0                 
 2.1           , -.89 ,350         , 1.174563591022, 1                 , 175              , 175       , 124                 , 0              , 12.4000000000000003, 0                 
 2.1           , -1.2 ,350         , 1.007845934379, 1                 , 175              , 175       , 125                 , 0              , 12.5               , 0                 
 2.1           , -1.5 ,350         , .8825733916302, 1                 , 175              , 175       , 126                 , 0              , 12.5999999999999996, 0                 
 2.1           , -2   ,350         , .785          , 1                 , 175              , 175       , 119                 , 0              , 11.9000000000000003, 0                 
 2.1           , -.4  ,350         , 1.755279503105, 1                 , 175              , 175       , 118                 , 0              , 11.8000000000000007, 0                 
 EM_WAVE,.59       ,AIR_GAP, 2          
          
 N_LENS_CORE, A0, LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 2.1           , 0    ,350         , 15.7          , 1                 , 175              , 175       , 111                 , 158            , 11.0999999999999996, 15.8              
 2.1           , -.026,350         , 3.265797405276, 1                 , 175              , 175       , 117                 , 12             , 11.6999999999999992, 1.1999999999999999
 2.1           , -.1  ,350         , 2.334660322325, 1                 , 175              , 175       , 123                 , 1              , 12.3000000000000007, .09999998999999999
 2.1           , -.22 ,350         , 1.913306712019, 1                 , 175              , 175       , 118                 , 0              , 11.8000000000000007, 0                 
 2.1           , -.4  ,350         , 1.660056872482, 1                 , 175              , 175       , 122                 , 0              , 12.1999999999999992, 0                 
 2.1           , -.62 ,350         , 1.486462819295, 1                 , 175              , 175       , 120                 , 0              , 12                 , 0                 
 2.1           , -.89 ,350         , 1.357963489165, 1                 , 175              , 175       , 119                 , 0              , 11.9000000000000003, 0                 
 2.1           , -1.2 ,350         , 1.257902268451, 1                 , 175              , 175       , 123                 , 0              , 12.3000000000000007, 0                 
 2.1           , -1.5 ,350         , 1.177132203645, 1                 , 175              , 175       , 124                 , 0              , 12.4000000000000003, 0                 
 2.1           , -2   ,350         , 1.110157646462, 1                 , 175              , 175       , 124                 , 0              , 12.4000000000000003, 0                 
 2.1           , -.22 ,350         , 1.913306712019, 1                 , 175              , 175       , 118                 , 0              , 11.8000000000000007, 0                 
 EM_WAVE,.59       ,AIR_GAP, 2          
          
 N_LENS_CORE, A0, LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 2.1           , 0    ,350         , 15.7          , 10                , 10               , 175       , 138                 , 240            , 13.8000000000000007, 24                
 2.1           , 0    ,350         , 8.901063339367, 10                , 10               , 175       , 141                 , 209            , 14.0999999999999996, 20.899999999999998
 2.1           , -.001,350         , 6.87024109955 , 10                , 10               , 175       , 140                 , 119            , 14                 , 11.9              
 2.1           , -.002,350         , 5.797609225126, 10                , 10               , 175       , 135                 , 93             , 13.5               , 9.2999989999999996
 2.1           , -.004,350         , 5.108712281629, 10                , 10               , 175       , 143                 , 53             , 14.3000000000000007, 5.2999999999999998
 2.1           , -.006,350         , 4.618534982504, 10                , 10               , 175       , 137                 , 36             , 13.6999999999999992, 3.6               
 2.1           , -.009,350         , 4.246863979283, 10                , 10               , 175       , 139                 , 31             , 13.9000000000000003, 3.1               
 2.1           , -.012,350         , 3.952544197577, 10                , 10               , 175       , 142                 , 17             , 14.1999999999999992, 1.6999999999999999
 2.1           , -.016,350         , 3.712000013386, 10                , 10               , 175       , 142                 , 10             , 14.1999999999999992, .99999990000000005
 2.1           , -.02 ,350         , 3.510626724674, 10                , 10               , 175       , 138                 , 7              , 13.8000000000000007, .69999999999999995
 2.1           , -.02 ,350         , 3.510626724674, 10                , 10               , 175       , 138                 , 7              , 13.8000000000000007, .69999999999999995
 EM_WAVE,.59       ,AIR_GAP, 2          
          
 N_LENS_CORE, A0, LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 2.1           , 0    ,350         , 157           , 10                , 10               , 175       , 124                 , 242            , 12.4000000000000003, 24.199999999999999
 2.1           , 0    ,350         , 50.46428571428, 10                , 10               , 175       , 133                 , 109            , 13.3000000000000007, 10.9              
 2.1           , -.001,350         , 30.06382978723, 10                , 10               , 175       , 136                 , 58             , 13.5999999999999996, 5.7999999999999998
 2.1           , -.002,350         , 21.40909090909, 10                , 10               , 175       , 134                 , 34             , 13.4000000000000003, 3.3999999999999999
 2.1           , -.004,350         , 16.62352941176, 10                , 10               , 175       , 135                 , 39             , 13.5               , 3.8999999999999999
 2.1           , -.006,350         , 13.58653846153, 10                , 10               , 175       , 136                 , 24             , 13.5999999999999996, 2.3999999999999999
 2.1           , -.009,350         , 11.48780487804, 10                , 10               , 175       , 136                 , 15             , 13.5999999999999996, 1.5               
 2.1           , -.012,350         , 9.950704225352, 10                , 10               , 175       , 139                 , 9              , 13.9000000000000003, .89999989999999996
 2.1           , -.016,350         , 8.776397515528, 10                , 10               , 175       , 135                 , 11             , 13.5               , 1.1               
 2.1           , -.02 ,350         , 7.85          , 10                , 10               , 175       , 140                 , 7              , 14                 , .69999999999999995
 2.1           , -.02 ,350         , 7.85          , 10                , 10               , 175       , 140                 , 7              , 14                 , .69999999999999995
 EM_WAVE,.59       ,AIR_GAP, 2          
          
 N_LENS_CORE, A0, LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 2.1           , -.005,350         , 4.806372683142, .0011608869162529 , 10               , 175       , 134                 , 83             , 13.4000000000000003, 8.3000000000000007
 2.1           , -.005,350         , 4.806372683142, .0011608869162529 , 10               , 175       , 134                 , 83             , 13.4000000000000003, 8.3000000000000007
 2.1           , -.005,350         , 4.806372683142, .0011608869162529 , 10               , 175       , 134                 , 83             , 13.4000000000000003, 8.3000000000000007
 2.1           , -.005,350         , 4.806372683142, .0011608869162529 , 10               , 175       , 134                 , 83             , 13.4000000000000003, 8.3000000000000007
 2.1           , -.005,350         , 4.806372683142, .0011608869162529 , 10               , 175       , 134                 , 83             , 13.4000000000000003, 8.3000000000000007
 2.1           , -.005,350         , 4.806372683142, .0011608869162529 , 10               , 175       , 134                 , 83             , 13.4000000000000003, 8.3000000000000007
 2.1           , -.005,350         , 4.806372683142, .0011608869162529 , 10               , 175       , 134                 , 83             , 13.4000000000000003, 8.3000000000000007
 2.1           , -.005,350         , 4.806372683142, .0011608869162529 , 10               , 175       , 134                 , 83             , 13.4000000000000003, 8.3000000000000007
 2.1           , -.005,350         , 4.806372683142, .0011608869162529 , 10               , 175       , 134                 , 83             , 13.4000000000000003, 8.3000000000000007
 2.1           , -.005,350         , 4.806372683142, .0011608869162529 , 10               , 175       , 134                 , 83             , 13.4000000000000003, 8.3000000000000007
 2.1           , -.005,350         , 4.806372683142, .0011608869162529 , 10               , 175       , 134                 , 83             , 13.4000000000000003, 8.3000000000000007
 EM_WAVE,.59       ,AIR_GAP, 2          

pdms_chan_lens=bfl          
 N_LENS_CORE, A0, LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 2.1           , 0    ,350         , 15.7          , .0037920331582056 , 10               , 175       , 135                 , 196            , 13.5               , 19.600000000000001
 2.1           , 0    ,350         , 11.10157646462, .0026813723606514 , 10               , 175       , 133                 , 265            , 13.3000000000000007, 26.5              
 2.1           , 0    ,350         , 9.064399226277, .0021893313646660 , 10               , 175       , 133                 , 273            , 13.3000000000000007, 27.3              
 2.1           , 0    ,350         , 7.85          , .0018960165791028 , 10               , 175       , 134                 , 245            , 13.4000000000000003, 24.5              
 2.1           , -.001,350         , 7.021253449349, .0016958487829362 , 10               , 175       , 129                 , 203            , 12.9000000000000003, 20.3              
 2.1           , -.001,350         , 6.409498160282, .0015480910542197 , 10               , 175       , 131                 , 187            , 13.0999999999999996, 18.699999999999999
 2.1           , -.002,350         , 5.934042226244, .0014332538142747 , 10               , 175       , 131                 , 134            , 13.0999999999999996, 13.4              
 2.1           , -.003,350         , 5.550788232314, .0013406861803257 , 10               , 175       , 132                 , 145            , 13.1999999999999992, 14.5              
 2.1           , -.004,350         , 5.233333333333, .0012640110527352 , 10               , 175       , 130                 , 134            , 13                 , 13.4              
 2.1           , -.005,350         , 4.964775926464, .0011991461742811 , 10               , 175       , 138                 , 117            , 13.8000000000000007, 11.699999999999999
 2.1           , -.004,350         , 4.989787550385, .0012051872511759 , 10               , 175       , 135                 , 94             , 13.5               , 9.3999989999999993
 EM_WAVE,.59       ,AIR_GAP, 2

          
           a0 = -0.5 x a^2, height = 0.25 x pitch
 WAVELEN, N_LENS_CORE, A0, LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 400       , 2.1           , 0    ,350         , 11.10157646462, 0                 , 10               , 175       , 133                 , 84             , 13.3000000000000007, 8.3999989999999993
 433.333333, 2.1           , 0    ,350         , 11.10157646462, 0                 , 10               , 175       , 133                 , 84             , 13.3000000000000007, 8.3999989999999993
 466.666666, 2.1           , 0    ,350         , 11.10157646462, 0                 , 10               , 175       , 133                 , 84             , 13.3000000000000007, 8.3999989999999993
 500       , 2.1           , 0    ,350         , 11.10157646462, 0                 , 10               , 175       , 133                 , 84             , 13.3000000000000007, 8.3999989999999993
 533.333333, 2.1           , 0    ,350         , 11.10157646462, 0                 , 10               , 175       , 133                 , 84             , 13.3000000000000007, 8.3999989999999993
 566.666666, 2.1           , 0    ,350         , 11.10157646462, 0                 , 10               , 175       , 133                 , 84             , 13.3000000000000007, 8.3999989999999993
 600       , 2.1           , 0    ,350         , 11.10157646462, 0                 , 10               , 175       , 133                 , 84             , 13.3000000000000007, 8.3999989999999993
 633.333333, 2.1           , 0    ,350         , 11.10157646462, 0                 , 10               , 175       , 133                 , 84             , 13.3000000000000007, 8.3999989999999993
 666.666666, 2.1           , 0    ,350         , 11.10157646462, 0                 , 10               , 175       , 133                 , 84             , 13.3000000000000007, 8.3999989999999993
 700       , 2.1           , 0    ,350         , 11.10157646462, 0                 , 10               , 175       , 133                 , 84             , 13.3000000000000007, 8.3999989999999993
 400       , 2.1           , 0    ,350         , 11.10157646462, 0                 , 10               , 175       , 133                 , 84             , 13.3000000000000007, 8.3999989999999993
 EM_WAVE,.4        ,AIR_GAP, 2          
          
 a0 = -0.5 x a^2, height = 0.25 x pitch
 WAVELEN, N_LENS_CORE, A0, LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 400       , 2.1           , 0    ,350         , 11.10157646462, .0026813723606514 , 100              , 50        , 30                  , 53             , 3                  , 5.2999999999999998
 433.333333, 2.1           , 0    ,350         , 11.10157646462, .0026813723606514 , 100              , 50        , 30                  , 53             , 3                  , 5.2999999999999998
 466.666666, 2.1           , 0    ,350         , 11.10157646462, .0026813723606514 , 100              , 50        , 30                  , 53             , 3                  , 5.2999999999999998
 500       , 2.1           , 0    ,350         , 11.10157646462, .0026813723606514 , 100              , 50        , 30                  , 53             , 3                  , 5.2999999999999998
 533.333333, 2.1           , 0    ,350         , 11.10157646462, .0026813723606514 , 100              , 50        , 30                  , 53             , 3                  , 5.2999999999999998
 566.666666, 2.1           , 0    ,350         , 11.10157646462, .0026813723606514 , 100              , 50        , 30                  , 53             , 3                  , 5.2999999999999998
 600       , 2.1           , 0    ,350         , 11.10157646462, .0026813723606514 , 100              , 50        , 30                  , 53             , 3                  , 5.2999999999999998
 633.333333, 2.1           , 0    ,350         , 11.10157646462, .0026813723606514 , 100              , 50        , 30                  , 53             , 3                  , 5.2999999999999998
 666.666666, 2.1           , 0    ,350         , 11.10157646462, .0026813723606514 , 100              , 50        , 30                  , 53             , 3                  , 5.2999999999999998
 700       , 2.1           , 0    ,350         , 11.10157646462, .0026813723606514 , 100              , 50        , 30                  , 53             , 3                  , 5.2999999999999998
 400       , 2.1           , 0    ,350         , 11.10157646462, .0026813723606514 , 100              , 50        , 30                  , 53             , 3                  , 5.2999999999999998
 EM_WAVE,.4        ,AIR_GAP, 2          
          
 a0 = -0.5 x a^2, height = 0.25 x pitch
 WAVELEN, N_LENS_CORE, A0, LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
