 bk-7 ball   
 N_LENS, LENS_F (um), PDMS_LENS_DET (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 1.77      , 195.22058 , 60               , 5                   , 39             , .5                 , 3.8999999999999999
 1.77      , 195.22058 , 70               , 7                   , 33             , .699999999999999955, 3.2999999999999998
 1.77      , 195.22058 , 80               , 6                   , 36             , .599999999999999977, 3.6               
 1.77      , 195.22058 , 90               , 4                   , 26             , .400000000000000022, 2.6               
 1.77      , 195.22058 , 100              , 8                   , 37             , .800000000000000044, 3.7000000000000001
 1.77      , 195.22058 , 110              , 5                   , 26             , .5                 , 2.6               
 1.77      , 195.22058 , 120              , 5                   , 30             , .5                 , 3                 
 1.77      , 195.22058 , 130              , 4                   , 30             , .400000000000000022, 3                 
 1.77      , 195.22058 , 140              , 4                   , 26             , .400000000000000022, 2.6               
 1.77      , 195.22058 , 150              , 4                   , 27             , .400000000000000022, 2.7000000000000001
 1.77      , 195.22058 , 160              , 4                   , 39             , .400000000000000022, 3.8999999999999999
 1.77      , 195.22058 , 170              , 2                   , 35             , .200000000000000011, 3.5               
 1.77      , 195.22058 , 180              , 4                   , 36             , .400000000000000022, 3.6               
 1.77      , 195.22058 , 190              , 4                   , 26             , .400000000000000022, 2.6               
 1.77      , 195.22058 , 200              , 4                   , 29             , .400000000000000022, 2.8999999999999999
 1.77      , 195.22058 , 210              , 4                   , 35             , .400000000000000022, 3.5               
 1.77      , 195.22058 , 220              , 4                   , 33             , .400000000000000022, 3.2999999999999998
 1.77      , 195.22058 , 230              , 4                   , 32             , .400000000000000022, 3.2000000000000001
 1.77      , 195.22058 , 240              , 4                   , 31             , .400000000000000022, 3.1               
 1.77      , 195.22058 , 250              , 4                   , 26             , .400000000000000022, 2.6               
 1.77      , 195.22058 , 260              , 3                   , 22             , .299999999999999988, 2.2000000000000001
 1.77      , 195.22058 , 270              , 4                   , 31             , .400000000000000022, 3.1               
 1.77      , 195.22058 , 280              , 4                   , 25             , .400000000000000022, 2.5               
 1.77      , 195.22058 , 290              , 5                   , 30             , .5                 , 3                 
 1.77      , 195.22058 , 300              , 4                   , 30             , .400000000000000022, 3                 
 1.77      , 195.22058 , 260              , 3                   , 22             , .299999999999999988, 2.2000000000000001
 EM_WAVE,.59       ,AIR_GAP,         2.,LENS_DIA,150        ,DET_RAD,75          
          
 sapphire ball   
 N_LENS, LENS_F (um), PDMS_LENS_DET (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 1.77      , 325.36764 , 10               , 9                   , 35             , .899999899999999963, 3.5               
 1.77      , 325.36764 , 20               , 10                  , 35             , .999999900000000052, 3.5               
 1.77      , 325.36764 , 30               , 9                   , 30             , .899999899999999963, 3                 
 1.77      , 325.36764 , 40               , 10                  , 41             , .999999900000000052, 4.0999999999999996
 1.77      , 325.36764 , 50               , 10                  , 30             , .999999900000000052, 3                 
 1.77      , 325.36764 , 60               , 8                   , 41             , .800000000000000044, 4.0999999999999996
 1.77      , 325.36764 , 70               , 8                   , 28             , .800000000000000044, 2.7999999999999998
 1.77      , 325.36764 , 80               , 8                   , 41             , .800000000000000044, 4.0999999999999996
 1.77      , 325.36764 , 90               , 7                   , 29             , .699999999999999955, 2.8999999999999999
 1.77      , 325.36764 , 100              , 6                   , 35             , .599999999999999977, 3.5               
 1.77      , 325.36764 , 110              , 5                   , 27             , .5                 , 2.7000000000000001
 1.77      , 325.36764 , 120              , 6                   , 42             , .599999999999999977, 4.2000000000000001
 1.77      , 325.36764 , 130              , 5                   , 38             , .5                 , 3.7999999999999998
 1.77      , 325.36764 , 140              , 7                   , 30             , .699999999999999955, 3                 
 1.77      , 325.36764 , 150              , 6                   , 29             , .599999999999999977, 2.8999999999999999
 1.77      , 325.36764 , 160              , 6                   , 32             , .599999999999999977, 3.2000000000000001
 1.77      , 325.36764 , 170              , 5                   , 29             , .5                 , 2.8999999999999999
 1.77      , 325.36764 , 180              , 6                   , 36             , .599999999999999977, 3.6               
 1.77      , 325.36764 , 190              , 8                   , 27             , .800000000000000044, 2.7000000000000001
 1.77      , 325.36764 , 200              , 5                   , 33             , .5                 , 3.2999999999999998
 1.77      , 325.36764 , 210              , 4                   , 32             , .400000000000000022, 3.2000000000000001
