 N_LENS, LENS_F (um), LENS_X, LENS_Y, LENS_XPCH (um), LENS_YPCH (um), LENS_DIA (um), DET_RAD (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
2.1,31.343283,3,3,40,40,40,60,20,53,62,5.3,6.2
2.1,35.261194,3,3,45,45,45,67.5,22.5,58,60,5.8,6
2.1,39.179104,3,3,50,50,50,75,25,64,61,6.4,6.1
2.1,43.097014,3,3,55,55,55,82.5,27.5,64,62,6.4,6.2
2.1,47.014925,3,3,60,60,60,90,30,59,81,5.9,8.1
2.1,50.932835,3,3,65,65,65,97.5,32.5,63,76,6.3,7.6
2.1,54.850746,3,3,70,70,70,105,35,62,75,6.2,7.5
2.1,58.768656,3,3,75,75,75,112.5,37.5,65,81,6.5,8.1
2.1,62.686567,3,3,80,80,80,120,40,64,81,6.4,8.1
2.1,66.604477,3,3,85,85,85,127.5,42.5,66,82,6.6,8.2
2.1,70.522388,3,3,90,90,90,135,45,64,83,6.4,8.3
2.1,74.440298,3,3,95,95,95,142.5,47.5,67,85,6.7,8.499999
2.1,78.358209,3,3,100,100,100,150,50,66,93,6.6,9.299999
2.1,3.9179104,3,3,5,5,5,7.5,2.5,18,15,1.8,1.5
 EM_WAVE,0.59,AIR_GAP,2,,,,,,,,,
          ,,,,,,,,,,,,
 N_LENS, LENS_F (um), LENS_X, LENS_Y, LENS_XPCH (um), LENS_YPCH (um), LENS_DIA (um), DET_RAD (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
2.1,39.179104,3,3,50,50,50,75,25,64,61,6.4,6.1
2.1,39.179104,3,3,61.11111111,61.11111111,50,75,25,64,64,6.4,6.4
2.1,39.179104,3,3,72.22222222,72.22222222,50,75,25,64,71,6.4,7.1
2.1,39.179104,3,3,83.33333333,83.33333333,50,75,25,64,68,6.4,6.8
2.1,39.179104,3,3,94.44444444,94.44444444,50,75,25,64,69,6.4,6.9
2.1,39.179104,3,3,105.5555556,105.5555556,50,75,25,64,66,6.4,6.6
2.1,39.179104,3,3,116.6666667,116.6666667,50,75,25,64,67,6.4,6.7
2.1,39.179104,3,3,127.7777778,127.7777778,50,75,25,64,69,6.4,6.9
2.1,39.179104,3,3,138.8888889,138.8888889,50,75,25,64,72,6.4,7.2
2.1,39.179104,3,3,150,150,50,75,25,64,68,6.4,6.8
2.1,39.179104,3,3,50,50,50,75,25,64,61,6.4,6.1
 EM_WAVE,0.59,AIR_GAP,2,,,,,,,,,
          ,,,,,,,,,,,,
 N_LENS, LENS_F (um), LENS_X, LENS_Y, LENS_XPCH (um), LENS_YPCH (um), LENS_DIA (um), DET_RAD (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
2.1,39.179104,3,3,50,50,50,150,25,137,139,13.7,13.9
2.1,39.179104,3,3,61.11111111,61.11111111,50,166.666666,25,137,132,13.7,13.2
2.1,39.179104,3,3,72.22222222,72.22222222,50,183.333333,25,137,143,13.7,14.3
2.1,39.179104,3,3,83.33333333,83.33333333,50,200,25,137,145,13.7,14.5
2.1,39.179104,3,3,94.44444444,94.44444444,50,216.666666,25,138,148,13.8,14.8
2.1,39.179104,3,3,105.5555556,105.5555556,50,233.333333,25,138,146,13.8,14.6
2.1,39.179104,3,3,116.6666667,116.6666667,50,250,25,138,135,13.8,13.5
