 N_LENS_CORE, A0, LENS_HEIGHT (um), LENS_X, LENS_Y, LENS_XPCH (um), LENS_YPCH (um), LENS_DIA (um), DET_RAD (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
 1.7            , .005 , 50            , 3        , 3        , 81.25       , 81.25       , 50         , 121.875    , 25               , 135                 , 79             , 13.5               , 7.9000000000000003
 1.7            , .005 , 50            , 3        , 3        , 87.5        , 87.5        , 50         , 131.25     , 25               , 135                 , 80             , 13.5               , 8                 
 1.7            , .005 , 50            , 3        , 3        , 93.75       , 93.75       , 50         , 140.625    , 25               , 135                 , 90             , 13.5               , 8.9999990000000007
 1.7            , .005 , 50            , 3        , 3        , 100         , 100         , 50         , 150        , 25               , 135                 , 80             , 13.5               , 8                 
 1.7            , .005 , 50            , 3        , 3        , 56.25       , 56.25       , 50         , 84.375     , 25               , 110                 , 74             , 11                 , 7.4000000000000003
 EM_WAVE,.59       ,AIR_GAP, 2           
          
 N_LENS_CORE, A0, LENS_HEIGHT (um), LENS_X, LENS_Y, LENS_XPCH (um), LENS_YPCH (um), LENS_DIA (um), DET_RAD (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
 1.7            , .005 , 5             , 3        , 3        , 56.25       , 56.25       , 50         , 84.375    , 10                , 25               , 134                 , 107            , 13.4000000000000003, 10.699999999999999
 1.7            , .005 , 10            , 3        , 3        , 56.25       , 56.25       , 50         , 84.375    , 10                , 25               , 134                 , 118            , 13.4000000000000003, 11.8              
 1.7            , .005 , 15            , 3        , 3        , 56.25       , 56.25       , 50         , 84.375    , 10                , 25               , 136                 , 67             , 13.5999999999999996, 6.7000000000000001
 1.7            , .005 , 20            , 3        , 3        , 56.25       , 56.25       , 50         , 84.375    , 10                , 25               , 136                 , 83             , 13.5999999999999996, 8.3000000000000007
 1.7            , .005 , 25            , 3        , 3        , 56.25       , 56.25       , 50         , 84.375    , 10                , 25               , 132                 , 102            , 13.1999999999999992, 10.199999999999999
 1.7            , .005 , 30            , 3        , 3        , 56.25       , 56.25       , 50         , 84.375    , 10                , 25               , 132                 , 111            , 13.1999999999999992, 11.099999999999999
 1.7            , .005 , 35            , 3        , 3        , 56.25       , 56.25       , 50         , 84.375    , 10                , 25               , 123                 , 105            , 12.3000000000000007, 10.5              
 1.7            , .005 , 40            , 3        , 3        , 56.25       , 56.25       , 50         , 84.375    , 10                , 25               , 123                 , 79             , 12.3000000000000007, 7.9000000000000003
 1.7            , .005 , 45            , 3        , 3        , 56.25       , 56.25       , 50         , 84.375    , 10                , 25               , 120                 , 86             , 12                 , 8.5999990000000003
 1.7            , .005 , 50            , 3        , 3        , 56.25       , 56.25       , 50         , 84.375    , 10                , 25               , 110                 , 74             , 11                 , 7.4000000000000003
 1.7            , .005 , 55            , 3        , 3        , 56.25       , 56.25       , 50         , 84.375    , 10                , 25               , 111                 , 76             , 11.0999999999999996, 7.5999999999999996
 1.7            , .005 , 60            , 3        , 3        , 56.25       , 56.25       , 50         , 84.375    , 10                , 25               , 98                  , 102            , 9.79999899999999968, 10.199999999999999
 1.7            , .005 , 65            , 3        , 3        , 56.25       , 56.25       , 50         , 84.375    , 10                , 25               , 98                  , 81             , 9.79999899999999968, 8.0999999999999996
 1.7            , .005 , 70            , 3        , 3        , 56.25       , 56.25       , 50         , 84.375    , 10                , 25               , 85                  , 78             , 8.49999900000000074, 7.7999999999999998
 1.7            , .005 , 75            , 3        , 3        , 56.25       , 56.25       , 50         , 84.375    , 10                , 25               , 86                  , 87             , 8.59999900000000039, 8.699999          
 1.7            , .005 , 80            , 3        , 3        , 56.25       , 56.25       , 50         , 84.375    , 10                , 25               , 77                  , 86             , 7.70000000000000017, 8.5999990000000003
 1.7            , .005 , 85            , 3        , 3        , 56.25       , 56.25       , 50         , 84.375    , 10                , 25               , 71                  , 75             , 7.09999999999999964, 7.5               
 1.7            , .005 , 90            , 3        , 3        , 56.25       , 56.25       , 50         , 84.375    , 10                , 25               , 65                  , 86             , 6.5                , 8.5999990000000003
 1.7            , .005 , 95            , 3        , 3        , 56.25       , 56.25       , 50         , 84.375    , 10                , 25               , 60                  , 95             , 6                  , 9.4999990000000007
 1.7            , .005 , 100           , 3        , 3        , 56.25       , 56.25       , 50         , 84.375    , 10                , 25               , 57                  , 93             , 5.70000000000000017, 9.2999989999999996
