 N_LENS_CORE, SQRTA, LENS_HEIGHT (um), LENS_X, LENS_Y, LENS_XPCH (um), LENS_YPCH (um), LENS_DIA (um), DET_RAD (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
 EM_WAVE,.59       ,AIR_GAP, 2           
          
 N_LENS_CORE, SQRTA, LENS_HEIGHT (um), LENS_X, LENS_Y, LENS_XPCH (um), LENS_YPCH (um), LENS_DIA (um), DET_RAD (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
 1.75           , .000608 , 25.82236842105, 3        , 3        , 20          , 20          , 20         , 30        , 5                 , 5                , 64                  , 95             , 6.40000000000000035, 9.4999990000000007
 1.75           , .000608 , 25.82236842105, 3        , 3        , 21          , 21          , 20         , 31.5      , 5                 , 5                , 68                  , 98             , 6.79999999999999982, 9.7999989999999996
 1.75           , .000608 , 25.82236842105, 3        , 3        , 22          , 22          , 20         , 33        , 5                 , 5                , 75                  , 92             , 7.5                , 9.199999          
 1.75           , .000608 , 25.82236842105, 3        , 3        , 23          , 23          , 20         , 34.5      , 5                 , 5                , 79                  , 95             , 7.90000000000000035, 9.4999990000000007
 1.75           , .000608 , 25.82236842105, 3        , 3        , 24          , 24          , 20         , 36        , 5                 , 5                , 87                  , 95             , 8.69999900000000003, 9.4999990000000007
 1.75           , .000608 , 25.82236842105, 3        , 3        , 25          , 25          , 20         , 37.5      , 5                 , 5                , 98                  , 94             , 9.79999899999999968, 9.3999989999999993
 1.75           , .000608 , 25.82236842105, 3        , 3        , 26          , 26          , 20         , 39        , 5                 , 5                , 105                 , 93             , 10.5               , 9.2999989999999996
 1.75           , .000608 , 25.82236842105, 3        , 3        , 27          , 27          , 20         , 40.5      , 5                 , 5                , 109                 , 89             , 10.9000000000000003, 8.8999989999999993
 1.75           , .000608 , 25.82236842105, 3        , 3        , 28          , 28          , 20         , 42        , 5                 , 5                , 110                 , 91             , 11                 , 9.0999990000000003
 1.75           , .000608 , 25.82236842105, 3        , 3        , 29          , 29          , 20         , 43.5      , 5                 , 5                , 112                 , 99             , 11.1999999999999992, 9.8999989999999993
 1.75           , .000608 , 25.82236842105, 3        , 3        , 30          , 30          , 20         , 45        , 5                 , 5                , 114                 , 107            , 11.4000000000000003, 10.699999999999999
 1.75           , .000608 , 25.82236842105, 3        , 3        , 31          , 31          , 20         , 46.5      , 5                 , 5                , 119                 , 95             , 11.9000000000000003, 9.4999990000000007
 1.75           , .000608 , 25.82236842105, 3        , 3        , 32          , 32          , 20         , 48        , 5                 , 5                , 120                 , 110            , 12                 , 11                
 1.75           , .000608 , 25.82236842105, 3        , 3        , 33          , 33          , 20         , 49.5      , 5                 , 5                , 123                 , 108            , 12.3000000000000007, 10.8              
 1.75           , .000608 , 25.82236842105, 3        , 3        , 34          , 34          , 20         , 51        , 5                 , 5                , 127                 , 107            , 12.6999999999999992, 10.699999999999999
 1.75           , .000608 , 25.82236842105, 3        , 3        , 35          , 35          , 20         , 52.5      , 5                 , 5                , 127                 , 117            , 12.6999999999999992, 11.699999999999999
 1.75           , .000608 , 25.82236842105, 3        , 3        , 36          , 36          , 20         , 54        , 5                 , 5                , 128                 , 121            , 12.8000000000000007, 12.099999999999999
 1.75           , .000608 , 25.82236842105, 3        , 3        , 37          , 37          , 20         , 55.5      , 5                 , 5                , 130                 , 126            , 13                 , 12.599999999999999
 1.75           , .000608 , 25.82236842105, 3        , 3        , 38          , 38          , 20         , 57        , 5                 , 5                , 133                 , 116            , 13.3000000000000007, 11.599999999999999
 1.75           , .000608 , 25.82236842105, 3        , 3        , 39          , 39          , 20         , 58.5      , 5                 , 5                , 133                 , 125            , 13.3000000000000007, 12.5              
 1.75           , .000608 , 25.82236842105, 3        , 3        , 40          , 40          , 20         , 60        , 5                 , 5                , 134                 , 129            , 13.4000000000000003, 12.9              
 1.75           , .000608 , 25.82236842105, 3        , 3        , 27          , 27          , 20         , 40.5      , 5                 , 5                , 109                 , 89             , 10.9000000000000003, 8.8999989999999993
 EM_WAVE,.59       ,AIR_GAP, 2           
          
 N_LENS_CORE, SQRTA, LENS_HEIGHT (um), LENS_X, LENS_Y, LENS_XPCH (um), LENS_YPCH (um), LENS_DIA (um), DET_RAD (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
 1.75           , .000608 , 25.82236842105, 3        , 3        , 25          , 25          , 20         , 37.5      , 2                 , 2                , 104                 , 99             , 10.4000000000000003, 9.8999989999999993
 1.75           , .000608 , 25.82236842105, 3        , 3        , 30          , 30          , 20         , 45        , 2                 , 2                , 120                 , 119            , 12                 , 11.9              
 1.75           , .000608 , 25.82236842105, 3        , 3        , 35          , 35          , 20         , 52.5      , 2                 , 2                , 129                 , 136            , 12.9000000000000003, 13.599999999999999
 1.75           , .000608 , 25.82236842105, 3        , 3        , 40          , 40          , 20         , 60        , 2                 , 2                , 132                 , 148            , 13.1999999999999992, 14.8              
