    
   BASELINE = 1    , complete set with tolerances for, detector distribution, bare channel, constant laser position
   EX_POW (W), SPOT_DIA, N_LENS, LENS_DIA (um), TOL (um), EFL (um), PDMS_LENS_DET (um), WD_PDMS, ANG, X_SHIFT, DIFF_X, DET_RAD (um), EX_DET_R, EX_DET_F, EX_SPOT_R, EX_SPOT_F, SPOT_DET_R, SPOT_DET_F, THETA, SNR
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 220              , 495       , 41.50012, 449      , 0          , 100       , 0          , 0          , 3746        , 125.391     , 124          , 8339232      , 12.78689, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 220              , 495       , 41.50012, 449      , 0          , 144       , 0          , 0          , 3746        , 125.391     , 218          , 14660900     , 16.98132, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 220              , 495       , 41.50012, 449      , 0          , 196       , 0          , 0          , 3746        , 125.391     , 364          , 24479660     , 21.99753, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 220              , 495       , 41.50012, 449      , 0          , 256       , 0          , 0          , 3746        , 125.391     , 558          , 37526500     , 27.32712, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 220              , 495       , 41.50012, 449      , 0          , 324       , 0          , 0          , 3746        , 125.391     , 809          , 54405510     , 33.04947, -1    
 , ,, , , ,270             
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 270              , 545       , 38.84731, 449      , 0          , 36        , 0          , 0          , 3273        , 118.8845    , 8            , 538014       , 3.241571, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 270              , 545       , 38.84731, 449      , 0          , 64        , 0          , 0          , 3273        , 118.8845    , 34           , 2286559      , 6.68557 , -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 270              , 545       , 38.84731, 449      , 0          , 100       , 0          , 0          , 3273        , 118.8845    , 92           , 6187160      , 11.00816, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 270              , 545       , 38.84731, 449      , 0          , 144       , 0          , 0          , 3273        , 118.8845    , 186          , 12508820     , 15.67706, -1    
