    
   BASELINE = 1    , complete set with tolerances for, detector distribution, bare channel, constant laser position
   EX_POW (W), SPOT_DIA, N_LENS, LENS_DIA (um), TOL (um), EFL (um), PDMS_LENS_DET (um), WD_PDMS, ANG, X_SHIFT, DIFF_X, DET_RAD (um), EX_DET_R, EX_DET_F, EX_SPOT_R, EX_SPOT_F, SPOT_DET_R, SPOT_DET_F, THETA, SNR
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 220              , 495       , 41.50012, 449      , 0          , 100       , 0          , 0          , 3746        , 125.391     , 168          , 11298350     , 14.89466, -1    
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 220              , 495       , 41.50012, 449      , 0          , 144       , 0          , 0          , 3746        , 125.391     , 184          , 12374380     , 15.59202, -1    
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 220              , 495       , 41.50012, 449      , 0          , 196       , 0          , 0          , 3746        , 125.391     , 320          , 21520620     , 20.60969, -1    
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 220              , 495       , 41.50012, 449      , 0          , 256       , 0          , 0          , 3746        , 125.391     , 513          , 34500060     , 26.18161, -1    
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 220              , 495       , 41.50012, 449      , 0          , 324       , 0          , 0          , 3746        , 125.391     , 766          , 51514680     , 32.13469, -1    
 , ,, , , ,270             
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 270              , 545       , 38.84731, 449      , 0          , 36        , 0          , 0          , 3273        , 118.8845    , 129          , 8675507      , 13.04324, -1    
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 270              , 545       , 38.84731, 449      , 0          , 64        , 0          , 0          , 3273        , 118.8845    , 148          , 9953294      , 13.97528, -1    
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 270              , 545       , 38.84731, 449      , 0          , 100       , 0          , 0          , 3273        , 118.8845    , 161          , 10827570     , 14.57934, -1    
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 270              , 545       , 38.84731, 449      , 0          , 144       , 0          , 0          , 3273        , 118.8845    , 163          , 10962070     , 14.67011, -1    
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 270              , 545       , 38.84731, 449      , 0          , 196       , 0          , 0          , 3273        , 118.8845    , 244          , 16409460     , 17.97337, -1    
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 270              , 545       , 38.84731, 449      , 0          , 256       , 0          , 0          , 3273        , 118.8845    , 435          , 29254510     , 24.07672, -1    
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 270              , 545       , 38.84731, 449      , 0          , 324       , 0          , 0          , 3273        , 118.8845    , 682          , 45865630     , 30.27677, -1    
 , ,, , , ,320             
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 320              , 595       , 36.4679 , 449      , 0          , 36        , 0          , 0          , 3038        , 109.3833    , 145          , 9751520      , 13.83221, -1    
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 320              , 595       , 36.4679 , 449      , 0          , 64        , 0          , 0          , 3038        , 109.3833    , 163          , 10962050     , 14.67011, -1    
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 320              , 595       , 36.4679 , 449      , 0          , 100       , 0          , 0          , 3038        , 109.3833    , 182          , 12239840     , 15.50652, -1    
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 320              , 595       , 36.4679 , 449      , 0          , 144       , 0          , 0          , 3038        , 109.3833    , 184          , 12374340     , 15.59202, -1    
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 320              , 595       , 36.4679 , 449      , 0          , 196       , 0          , 0          , 3038        , 109.3833    , 262          , 17619960     , 18.63022, -1    
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 320              , 595       , 36.4679 , 449      , 0          , 256       , 0          , 0          , 3038        , 109.3833    , 411          , 27640430     , 23.39345, -1    
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 320              , 595       , 36.4679 , 449      , 0          , 324       , 0          , 0          , 3038        , 109.3833    , 596          , 40081690     , 28.26098, -1    
 , , ,150        , 0     
 , ,, , , ,20              
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 20               , 295       , 55.5945 , 449      , 0          , 36        , 0          , 0          , 5730        , 121.3445    , 124          , 8339343      , 12.78689, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 20               , 295       , 55.5945 , 449      , 0          , 64        , 0          , 0          , 5730        , 121.3445    , 330          , 22193400     , 20.93281, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 20               , 295       , 55.5945 , 449      , 0          , 100       , 0          , 0          , 5730        , 121.3445    , 330          , 22193400     , 20.93281, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 20               , 295       , 55.5945 , 449      , 0          , 144       , 0          , 0          , 5730        , 121.3445    , 459          , 30868920     , 24.74222, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 20               , 295       , 55.5945 , 449      , 0          , 196       , 0          , 0          , 5730        , 121.3445    , 771          , 51851580     , 32.24224, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 20               , 295       , 55.5945 , 449      , 0          , 256       , 0          , 0          , 5730        , 121.3445    , 1087         , 73103030     , 38.50075, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 20               , 295       , 55.5945 , 449      , 0          , 324       , 10         , .3000559   , 5704        , 122.4056    , 1249         , 83998080     , 41.39229, .279E9
 , ,, , , ,70              
