 250um cubic zirconia ball, TOP=(PDMS_CHAN_LENS)+(LENS_DIA); BOT=(PDMS_CHAN_LENS) 
 EMISSION (um), N_LENS, LENS_DIA (um), EFF (um), BFL (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), AIR_GAP (um), DET_RAD (um), BASE_RAYS, N_RAYS
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 190       , 54                  , 0              
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 200       , 61                  , 0              
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 210       , 68                  , 0              
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 220       , 76                  , 0              
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 230       , 84                  , 0              
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 240       , 87                  , 0              
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 250       , 94                  , 0              
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 260       , 98                  , 0              
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 270       , 104                 , 0              
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 280       , 106                 , 0              
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 290       , 110                 , 0              
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 300       , 115                 , 0              
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 10        , 0                   , 0              
 250um cubic zirconia ball, TOP=(EFL)+(LENS_RAD); BOT=(EFL)-(LENS_RAD) - identical to first case, therefore use of bfl is correct
 EMISSION (um), N_LENS, LENS_DIA (um), EFF (um), BFL (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), AIR_GAP (um), DET_RAD (um), BASE_RAYS, N_RAYS
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 10        , 0                   , 0              
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 20        , 0                   , 0              
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 30        , 4                   , 6              
