  
 LENS DETECTOR DISTRIBUTION, CONSTANT LASER POSITION, BARE channel, bare ball, CY5 fluorophore, with media/coating definitions, new excitation spot/emission calculations
 EX_POW (W), SPOT_DIA, N_LENS, LENS_DIA (um), EFL (um), PDMS_LENS_DET (um), WD_PDMS, ANG, X_SHIFT, DIFF_X, DET_RAD (um), EX_DET_R, EX_DET_F, EX_SPOT_R, EX_SPOT_F, SPOT_DET_R, SPOT_DET_F, THETA, SNR
 .0004    ,         10, 1.76      , 150        , 200    , 0                , 275       , 57.18744, 449      , 0          , 81        , 0          , 0          , 92          , 1.099264    , 340          , 9146380      , 21.25124, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 0                , 275       , 57.18744, 449      , 0          , 100       , 0          , 0          , 92          , 1.099264    , 342          , 9200137      , 21.31438, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 0                , 275       , 57.18744, 449      , 0          , 121       , 0          , 0          , 92          , 1.099264    , 406          , 10921790     , 23.24872, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 0                , 275       , 57.18744, 449      , 0          , 144       , 0          , 0          , 92          , 1.099264    , 553          , 14876230     , 27.20205, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 0                , 275       , 57.18744, 449      , 0          , 169       , 0          , 0          , 92          , 1.099264    , 738          , 19852910     , 31.52632, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 0                , 275       , 57.18744, 449      , 0          , 196       , 0          , 0          , 92          , 1.099264    , 933          , 25098550     , 35.57053, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 0                , 275       , 57.18744, 449      , 0          , 225       , 0          , 0          , 92          , 1.099264    , 1140         , 30667000     , 39.46617, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 0                , 275       , 57.18744, 449      , 0          , 256       , 0          , 0          , 92          , 1.099264    , 1310         , 35240140     , 42.43867, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 0                , 275       , 57.18744, 449      , 0          , 289       , 0          , 0          , 92          , 1.099264    , 1341         , 36074070     , 42.96249, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 0                , 275       , 57.18744, 449      , 0          , 324       , 0          , 0          , 92          , 1.099264    , 1343         , 36127870     , 42.99611, -1    
 , ,, , ,10              
 .0004    ,         10, 1.76      , 150        , 200    , 10               , 285       , 56.29521, 449      , 0          , 25        , 0          , 0          , 68          , 1.343001    , 38           , 1022243      , 7.068379, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 10               , 285       , 56.29521, 449      , 0          , 36        , 0          , 0          , 68          , 1.343001    , 97           , 2609409      , 11.30428, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 10               , 285       , 56.29521, 449      , 0          , 49        , 0          , 0          , 68          , 1.343001    , 278          , 7478509      , 19.19588, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 10               , 285       , 56.29521, 449      , 0          , 64        , 0          , 0          , 68          , 1.343001    , 296          , 7962728      , 19.81365, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 10               , 285       , 56.29521, 449      , 0          , 81        , 0          , 0          , 68          , 1.343001    , 296          , 7962728      , 19.81365, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 10               , 285       , 56.29521, 449      , 0          , 100       , 0          , 0          , 68          , 1.343001    , 298          , 8016508      , 19.88116, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 10               , 285       , 56.29521, 449      , 0          , 121       , 0          , 0          , 68          , 1.343001    , 333          , 8958042      , 21.02882, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 10               , 285       , 56.29521, 449      , 0          , 144       , 0          , 0          , 68          , 1.343001    , 484          , 13020090     , 25.41806, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 10               , 285       , 56.29521, 449      , 0          , 169       , 0          , 0          , 68          , 1.343001    , 646          , 17378040     , 29.44826, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 10               , 285       , 56.29521, 449      , 0          , 196       , 0          , 0          , 68          , 1.343001    , 839          , 22569900     , 33.6746 , -1    
 .0004    ,         10, 1.76      , 150        , 200    , 10               , 285       , 56.29521, 449      , 0          , 225       , 0          , 0          , 68          , 1.343001    , 1002         , 26954710     , 36.90807, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 10               , 285       , 56.29521, 449      , 0          , 256       , 0          , 0          , 68          , 1.343001    , 1176         , 31635460     , 40.11079, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 10               , 285       , 56.29521, 449      , 0          , 289       , 0          , 0          , 68          , 1.343001    , 1242         , 33410900     , 41.27083, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 10               , 285       , 56.29521, 449      , 0          , 324       , 0          , 0          , 68          , 1.343001    , 1246         , 33518510     , 41.34027, -1    
 , ,, , ,20              
 .0004    ,         10, 1.76      , 150        , 200    , 20               , 295       , 55.42113, 449      , 0          , 25        , 0          , 0          , 39          , 1.097003    , 43           , 1156748      , 7.519666, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 20               , 295       , 55.42113, 449      , 0          , 36        , 0          , 0          , 39          , 1.097003    , 103          , 2770815      , 11.64983, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 20               , 295       , 55.42113, 449      , 0          , 49        , 0          , 0          , 39          , 1.097003    , 306          , 8231736      , 20.149  , -1    
 .0004    ,         10, 1.76      , 150        , 200    , 20               , 295       , 55.42113, 449      , 0          , 64        , 0          , 0          , 39          , 1.097003    , 306          , 8231736      , 20.149  , -1    
