 EMISSION (um), N_LENS, LENS_DIA (um), EFF (um), BFL (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), COAT_REFL , AIR_GAP (um), DET_RAD (um), BASE_RAYS, N_RAYS, BASE_THETA, N_THETA, BASE_EX, N_EX
 EMISSION (um), N_LENS, LENS_DIA (um), EFF (um), BFL (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), COAT_REFL , AIR_GAP (um), DET_RAD (um), BASE_RAYS, N_RAYS, BASE_THETA, N_THETA, BASE_EX, N_EX
 EMISSION (um), N_LENS, LENS_DIA (um), EFF (um), BFL (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), COAT_REFL , AIR_GAP (um), DET_RAD (um), BASE_RAYS, N_RAYS, BASE_THETA, N_THETA, BASE_EX, N_EX
 EMISSION (um), N_LENS, LENS_DIA (um), EFF (um), BFL (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), COAT_REFL , AIR_GAP (um), DET_RAD (um), BASE_RAYS, N_RAYS, BASE_THETA, N_THETA, BASE_EX, N_EX
 EMISSION (um), N_LENS, LENS_DIA (um), EFF (um), BFL (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), COAT_REFL , AIR_GAP (um), DET_RAD (um), BASE_RAYS, N_RAYS, BASE_THETA, N_THETA, BASE_EX, N_EX
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 10               , -1          , 2         , 60        , 0           , 20      , 10.887482877 , 16.260204, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 20               , -1          , 2         , 60        , 0           , 22      , 10.887482877 , 17.059621, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 30               , -1          , 2         , 60        , 0           , 30      , 9.5986383834 , 19.948443, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 40               , -1          , 2         , 60        , 0           , 20      , 10.263095898 , 16.260204, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 50               , -1          , 2         , 60        , 0           , 27      , 8.8851242702 , 18.915092, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 60               , -1          , 2         , 60        , 0           , 21      , 8.1096144559 , 16.664571, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 70               , -1          , 2         , 60        , 0           , 27      , 7.252246865  , 18.915092, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 80               , -1          , 2         , 60        , 0           , 21      , 8.1096144559 , 16.664571, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 90               , -1          , 2         , 60        , 0           , 20      , 8.1096144559 , 16.260204, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 100              , -1          , 2         , 60        , 0           , 26      , 7.252246865  , 18.558353, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 110              , -1          , 2         , 60        , 0           , 25      , 7.252246865  , 18.194872, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 120              , -1          , 2         , 60        , 0           , 24      , 6.2795806411 , 17.824235, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 130              , -1          , 2         , 60        , 0           , 28      , 7.252246865  , 19.265464, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 140              , -1          , 2         , 60        , 0           , 17      , 7.252246865  , 14.983571, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 150              , -1          , 2         , 60        , 0           , 20      , 7.252246865  , 16.260204, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 160              , -1          , 2         , 60        , 0           , 26      , 6.2795806411 , 18.558353, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 170              , -1          , 2         , 60        , 0           , 27      , 7.252246865  , 18.915092, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 180              , -1          , 2         , 60        , 0           , 27      , 7.252246865  , 18.915092, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 190              , -1          , 2         , 60        , 0           , 27      , 7.252246865  , 18.915092, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 200              , -1          , 2         , 60        , 0           , 27      , 7.252246865  , 18.915092, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 210              , -1          , 2         , 60        , 0           , 24      , 7.252246865  , 17.824235, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 220              , -1          , 2         , 60        , 0           , 22      , 7.252246865  , 17.059621, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 230              , -1          , 2         , 60        , 0           , 20      , 7.252246865  , 16.260204, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 240              , -1          , 2         , 60        , 0           , 21      , 7.252246865  , 16.664571, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 250              , -1          , 2         , 60        , 0           , 21      , 7.252246865  , 16.664571, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 260              , -1          , 2         , 60        , 0           , 21      , 7.252246865  , 16.664571, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 270              , -1          , 2         , 60        , 0           , 21      , 6.2795806411 , 16.664571, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 280              , -1          , 2         , 60        , 0           , 26      , 7.252246865  , 18.558353, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 290              , -1          , 2         , 60        , 0           , 23      , 7.252246865  , 17.445987, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 300              , -1          , 2         , 60        , 0           , 20      , 6.2795806411 , 16.260204, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 0                , -1          , 2         , 60        , 0           , 20      , 11.478340954 , 16.260204, 0         , 0     
 , 1.768     , 150        ,  ,  , , , , , 80         ,  , ,  , , ,
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 0                , -1          , 2         , 80        , 0           , 19      , 13.09392332  , 15.845807, 0         , 0     
