 EMISSION (um), N_LENS, LENS_DIA (um), EFF (um), BFL (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), COAT_REFL , AIR_GAP (um), DET_RAD (um), BASE_RAYS, N_RAYS, BASE_THETA, N_THETA, BASE_EX, N_EX
 EMISSION (um), N_LENS, LENS_DIA (um), EFF (um), BFL (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), COAT_REFL , AIR_GAP (um), DET_RAD (um), BASE_RAYS, N_RAYS, BASE_THETA, N_THETA, BASE_EX, N_EX
 EMISSION (um), N_LENS, LENS_DIA (um), EFF (um), BFL (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), COAT_REFL , AIR_GAP (um), DET_RAD (um), BASE_RAYS, N_RAYS, BASE_THETA, N_THETA, BASE_EX, N_EX
 EMISSION (um), N_LENS, LENS_DIA (um), EFF (um), BFL (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), COAT_REFL , AIR_GAP (um), DET_RAD (um), BASE_RAYS, N_RAYS, BASE_THETA, N_THETA, BASE_EX, N_EX
 EMISSION (um), N_LENS, LENS_DIA (um), EFF (um), BFL (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), COAT_REFL , AIR_GAP (um), DET_RAD (um), BASE_RAYS, N_RAYS, BASE_THETA, N_THETA, BASE_EX, N_EX
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 0                , 271.153846, -1          , 2         , 53.39181, 365      , 200        , 40        , 0           , 149     , 9.1050003968 , 14.022653, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 10               , 281.153846, -1          , 2         , 52.39349, 365      , 200        , 40        , 0           , 155     , 8.8106229698 , 14.303648, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 20               , 291.153846, -1          , 2         , 51.42127, 365      , 200        , 40        , 0           , 170     , 8.3497781643 , 14.983571, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 30               , 301.153846, -1          , 2         , 50.47467, 365      , 200        , 40        , 0           , 189     , 8.2704931856 , 15.803785, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 40               , 311.153846, -1          , 2         , 49.55319, 365      , 200        , 40        , 0           , 232     , 8.0279744361 , 17.522269, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 50               , 321.153846, -1          , 2         , 48.6563 , 365      , 200        , 40        , 0           , 230     , 7.6067293468 , 17.445987, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 60               , 331.153846, -1          , 2         , 47.78345, 365      , 200        , 40        , 0           , 246     , 7.4315901197 , 18.0475  , 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 70               , 341.153846, -1          , 2         , 46.93409, 365      , 200        , 40        , 0           , 282     , 7.6067293468 , 19.334805, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 80               , 351.153846, -1          , 2         , 46.10762, 365      , 200        , 40        , 0           , 290     , 7.3424630806 , 19.60981 , 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 90               , 361.153846, -1          , 2         , 45.30347, 365      , 200        , 40        , 0           , 301     , 7.1609003063 , 19.982003, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 100              , 371.153846, -1          , 2         , 44.52105, 365      , 200        , 40        , 0           , 294     , 7.252246865  , 19.745932, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 110              , 381.153846, -1          , 2         , 43.75977, 365      , 200        , 40        , 0           , 309     , 7.1609003063 , 20.248565, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 120              , 391.153846, -1          , 2         , 43.01904, 365      , 200        , 40        , 0           , 292     , 6.9746379595 , 19.677984, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 130              , 401.153846, -1          , 2         , 42.29828, 365      , 200        , 40        , 0           , 332     , 6.9746379595 , 20.99687 , 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 140              , 411.153846, -1          , 2         , 41.59692, 365      , 200        , 40        , 0           , 312     , 6.7832889062 , 20.347663, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 150              , 421.153846, -1          , 2         , 40.91438, 365      , 200        , 40        , 0           , 326     , 6.9746379595 , 20.804142, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 160              , 431.153846, -1          , 2         , 40.2501 , 365      , 200        , 40        , 0           , 325     , 6.6855708284 , 20.771855, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 170              , 441.153846, -1          , 2         , 39.60353, 365      , 200        , 40        , 0           , 317     , 6.4857396788 , 20.511807, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 180              , 451.153846, -1          , 2         , 38.97412, 365      , 200        , 40        , 0           , 290     , 6.4857396788 , 19.60981 , 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 190              , 461.153846, -1          , 2         , 38.36136, 365      , 200        , 40        , 0           , 305     , 6.2795806411 , 20.115708, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 200              , 471.153846, -1          , 2         , 37.76472, 365      , 200        , 40        , 0           , 282     , 5.9570347897 , 19.334805, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 210              , 481.153846, -1          , 2         , 37.1837 , 365      , 200        , 40        , 0           , 326     , 5.8455809092 , 20.804142, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 220              , 491.153846, -1          , 2         , 36.61781, 365      , 200        , 40        , 0           , 284     , 5.8455809092 , 19.403908, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 230              , 501.153846, -1          , 2         , 36.06657, 365      , 200        , 40        , 0           , 316     , 5.7319679652 , 20.479079, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 240              , 511.153846, -1          , 2         , 35.52952, 365      , 200        , 40        , 0           , 292     , 5.8455809092 , 19.677984, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 250              , 521.153846, -1          , 2         , 35.0062 , 365      , 200        , 40        , 0           , 286     , 5.7319679652 , 19.472774, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 260              , 531.153846, -1          , 2         , 34.49619, 365      , 200        , 40        , 0           , 305     , 5.8455809092 , 20.115708, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 270              , 541.153846, -1          , 2         , 33.99906, 365      , 200        , 40        , 0           , 303     , 5.4977269478 , 20.048962, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 280              , 551.153846, -1          , 2         , 33.51439, 365      , 200        , 40        , 0           , 303     , 5.2530846071 , 20.048962, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 290              , 561.153846, -1          , 2         , 33.0418 , 365      , 200        , 40        , 0           , 284     , 5.1264000819 , 19.403908, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 300              , 571.153846, -1          , 2         , 32.5809 , 365      , 200        , 40        , 0           , 268     , 4.9965133376 , 18.844265, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 0                , 271.153846, -1          , 2         , 53.39181, 365      , 200        , 40        , 0           , 149     , 9.1050003968 , 14.022653, 0         , 0     
 , , 1.768     , 150        ,  , , , , , , , , , , 60        
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 0                , 271.153846, -1          , 2         , 54.84312, 385      , 200        , 60        , 0           , 290     , 12.735017033 , 19.60981 , 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 10               , 281.153846, -1          , 2         , 53.86047, 385      , 200        , 60        , 0           , 289     , 12.419270599 , 19.575638, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 20               , 291.153846, -1          , 2         , 52.90183, 385      , 200        , 60        , 0           , 318     , 11.985551371 , 20.544485, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 30               , 301.153846, -1          , 2         , 51.96685, 385      , 200        , 60        , 0           , 317     , 11.706443192 , 20.511807, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 40               , 311.153846, -1          , 2         , 51.05514, 385      , 200        , 60        , 0           , 313     , 11.362596283 , 20.380593, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 50               , 321.153846, -1          , 2         , 50.16629, 385      , 200        , 60        , 0           , 300     , 11.068010592 , 19.948443, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 60               , 331.153846, -1          , 2         , 49.29986, 385      , 200        , 60        , 0           , 318     , 10.887482877 , 20.544485, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 70               , 341.153846, -1          , 2         , 48.4554 , 385      , 200        , 60        , 0           , 322     , 10.454283786 , 20.674703, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 80               , 351.153846, -1          , 2         , 47.63243, 385      , 200        , 60        , 0           , 294     , 10.133655449 , 19.745932, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 90               , 361.153846, -1          , 2         , 46.83047, 385      , 200        , 60        , 0           , 296     , 10.068317804 , 19.813657, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 100              , 371.153846, -1          , 2         , 46.04904, 385      , 200        , 60        , 0           , 295     , 9.6671189116 , 19.779822, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 110              , 381.153846, -1          , 2         , 45.28762, 385      , 200        , 60        , 0           , 328     , 9.3902290831 , 20.868574, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 120              , 391.153846, -1          , 2         , 44.54573, 385      , 200        , 60        , 0           , 303     , 9.4602043276 , 20.048962, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 130              , 401.153846, -1          , 2         , 43.82285, 385      , 200        , 60        , 0           , 290     , 9.3902290831 , 19.60981 , 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 140              , 411.153846, -1          , 2         , 43.11849, 385      , 200        , 60        , 0           , 319     , 9.1050003968 , 20.577113, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 150              , 421.153846, -1          , 2         , 42.43215, 385      , 200        , 60        , 0           , 313     , 8.8851242702 , 20.380593, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 160              , 431.153846, -1          , 2         , 41.76334, 385      , 200        , 60        , 0           , 296     , 8.6597130358 , 19.813657, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 170              , 441.153846, -1          , 2         , 41.11157, 385      , 200        , 60        , 0           , 324     , 8.5061469534 , 20.739519, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 180              , 451.153846, -1          , 2         , 40.47636, 385      , 200        , 60        , 0           , 300     , 8.6597130358 , 19.948443, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 190              , 461.153846, -1          , 2         , 39.85723, 385      , 200        , 60        , 0           , 311     , 8.4283225817 , 20.314682, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 200              , 471.153846, -1          , 2         , 39.25373, 385      , 200        , 60        , 0           , 317     , 8.2704931856 , 20.511807, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 210              , 481.153846, -1          , 2         , 38.66539, 385      , 200        , 60        , 0           , 301     , 7.6067293468 , 19.982003, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 220              , 491.153846, -1          , 2         , 38.09177, 385      , 200        , 60        , 0           , 312     , 7.5196667119 , 20.347663, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 230              , 501.153846, -1          , 2         , 37.53244, 385      , 200        , 60        , 0           , 315     , 7.5196667119 , 20.446301, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 240              , 511.153846, -1          , 2         , 36.98698, 385      , 200        , 60        , 0           , 302     , 7.3424630806 , 20.01551 , 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 250              , 521.153846, -1          , 2         , 36.45496, 385      , 200        , 60        , 0           , 326     , 7.1609003063 , 20.804142, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 260              , 531.153846, -1          , 2         , 35.93599, 385      , 200        , 60        , 0           , 295     , 7.252246865  , 19.779822, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 270              , 541.153846, -1          , 2         , 35.42967, 385      , 200        , 60        , 0           , 313     , 7.1609003063 , 20.380593, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 280              , 551.153846, -1          , 2         , 34.93562, 385      , 200        , 60        , 0           , 299     , 7.1609003063 , 19.914829, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 290              , 561.153846, -1          , 2         , 34.45348, 385      , 200        , 60        , 0           , 292     , 7.1609003063 , 19.677984, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 300              , 571.153846, -1          , 2         , 33.98288, 385      , 200        , 60        , 0           , 309     , 6.879625535  , 20.248565, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 0                , 271.153846, -1          , 2         , 54.84312, 385      , 200        , 60        , 0           , 290     , 12.735017033 , 19.60981 , 0         , 0     
 , , 1.768     , 150        ,  , , , , , , , , , , 80        
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 0                , 271.153846, -1          , 2         , 56.19707, 405      , 200        , 80        , 0           , 314     , 16.301080278 , 20.413472, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 10               , 281.153846, -1          , 2         , 55.23134, 405      , 200        , 80        , 0           , 298     , 15.719414294 , 19.88116 , 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 20               , 291.153846, -1          , 2         , 54.2877 , 405      , 200        , 80        , 0           , 324     , 15.463607571 , 20.739519, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 30               , 301.153846, -1          , 2         , 53.36588, 405      , 200        , 80        , 0           , 322     , 15.159847044 , 20.674703, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 40               , 311.153846, -1          , 2         , 52.4656 , 405      , 200        , 80        , 0           , 316     , 14.715290062 , 20.479079, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 50               , 321.153846, -1          , 2         , 51.58655, 405      , 200        , 80        , 0           , 322     , 14.488013422 , 20.674703, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 60               , 331.153846, -1          , 2         , 50.72837, 405      , 200        , 80        , 0           , 331     , 13.927754369 , 20.964866, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 70               , 341.153846, -1          , 2         , 49.89071, 405      , 200        , 80        , 0           , 328     , 13.687685703 , 20.868574, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 80               , 351.153846, -1          , 2         , 49.07319, 405      , 200        , 80        , 0           , 325     , 13.394034988 , 20.771855, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 90               , 361.153846, -1          , 2         , 48.2754 , 405      , 200        , 80        , 0           , 328     , 13.194705452 , 20.868574, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 100              , 371.153846, -1          , 2         , 47.49694, 405      , 200        , 80        , 0           , 328     , 12.890036943 , 20.868574, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 110              , 381.153846, -1          , 2         , 46.7374 , 405      , 200        , 80        , 0           , 303     , 12.630631138 , 20.048962, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 120              , 391.153846, -1          , 2         , 45.99634, 405      , 200        , 80        , 0           , 297     , 12.258397055 , 19.847436, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 130              , 401.153846, -1          , 2         , 45.27335, 405      , 200        , 80        , 0           , 287     , 11.985551371 , 19.50712 , 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 140              , 411.153846, -1          , 2         , 44.56799, 405      , 200        , 80        , 0           , 307     , 11.649830618 , 20.182241, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 150              , 421.153846, -1          , 2         , 43.87983, 405      , 200        , 80        , 0           , 326     , 11.420613303 , 20.804142, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 160              , 431.153846, -1          , 2         , 43.20844, 405      , 200        , 80        , 0           , 321     , 10.887482877 , 20.642222, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 170              , 441.153846, -1          , 2         , 42.55339, 405      , 200        , 80        , 0           , 297     , 10.826646265 , 19.847436, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 180              , 451.153846, -1          , 2         , 41.91426, 405      , 200        , 80        , 0           , 319     , 10.703948228 , 20.577113, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 190              , 461.153846, -1          , 2         , 41.29063, 405      , 200        , 80        , 0           , 320     , 10.19857886  , 20.609692, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 200              , 471.153846, -1          , 2         , 40.68208, 405      , 200        , 80        , 0           , 320     , 10.068317804 , 20.609692, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 210              , 481.153846, -1          , 2         , 40.08821, 405      , 200        , 80        , 0           , 296     , 10.19857886  , 19.813657, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 220              , 491.153846, -1          , 2         , 39.50861, 405      , 200        , 80        , 0           , 292     , 9.8026584238 , 19.677984, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 230              , 501.153846, -1          , 2         , 38.94289, 405      , 200        , 80        , 0           , 329     , 9.5296704093 , 20.900718, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 240              , 511.153846, -1          , 2         , 38.39066, 405      , 200        , 80        , 0           , 299     , 9.4602043276 , 19.914829, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 250              , 521.153846, -1          , 2         , 37.85155, 405      , 200        , 80        , 0           , 323     , 9.248704791  , 20.707135, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 260              , 531.153846, -1          , 2         , 37.32519, 405      , 200        , 80        , 0           , 295     , 9.1771314715 , 19.779822, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 270              , 541.153846, -1          , 2         , 36.81121, 405      , 200        , 80        , 0           , 297     , 9.1771314715 , 19.847436, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 280              , 551.153846, -1          , 2         , 36.30926, 405      , 200        , 80        , 0           , 294     , 9.0322982035 , 19.745932, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 290              , 561.153846, -1          , 2         , 35.819  , 405      , 200        , 80        , 0           , 296     , 9.0322982035 , 19.813657, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 300              , 571.153846, -1          , 2         , 35.3401 , 405      , 200        , 80        , 0           , 290     , 8.6597130358 , 19.60981 , 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 0                , 271.153846, -1          , 2         , 56.19707, 405      , 200        , 80        , 0           , 314     , 16.301080278 , 20.413472, 0         , 0     
 , , 1.768     , 150        ,  , , , , , , , , , , 100       
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 0                , 271.153846, -1          , 2         , 57.46175, 425      , 200        , 100       , 0           , 291     , 20.707135911 , 19.643926, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 10               , 281.153846, -1          , 2         , 56.51383, 425      , 200        , 100       , 0           , 320     , 19.881159964 , 20.609692, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 20               , 291.153846, -1          , 2         , 55.58621, 425      , 200        , 100       , 0           , 293     , 19.230703939 , 19.711986, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 30               , 301.153846, -1          , 2         , 54.67871, 425      , 200        , 100       , 0           , 328     , 18.450035235 , 20.868574, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 40               , 311.153846, -1          , 2         , 53.79114, 425      , 200        , 100       , 0           , 307     , 17.861634096 , 20.182241, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 50               , 321.153846, -1          , 2         , 52.92325, 425      , 200        , 100       , 0           , 323     , 17.407725223 , 20.707135, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 60               , 331.153846, -1          , 2         , 52.07479, 425      , 200        , 100       , 0           , 323     , 16.823672215 , 20.707135, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 70               , 341.153846, -1          , 2         , 51.24546, 425      , 200        , 100       , 0           , 304     , 16.382533738 , 20.082362, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 80               , 351.153846, -1          , 2         , 50.43497, 425      , 200        , 100       , 0           , 292     , 16.012819519 , 19.677984, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 90               , 361.153846, -1          , 2         , 49.64299, 425      , 200        , 100       , 0           , 337     , 15.592022531 , 21.156195, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 100              , 371.153846, -1          , 2         , 48.86918, 425      , 200        , 100       , 0           , 322     , 15.203604093 , 20.674703, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 110              , 381.153846, -1          , 2         , 48.11321, 425      , 200        , 100       , 0           , 327     , 15.027829433 , 20.836382, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 120              , 391.153846, -1          , 2         , 47.37471, 425      , 200        , 100       , 0           , 322     , 14.670110298 , 20.674703, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 130              , 401.153846, -1          , 2         , 46.65333, 425      , 200        , 100       , 0           , 324     , 14.163833683 , 20.739519, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 140              , 411.153846, -1          , 2         , 45.94869, 425      , 200        , 100       , 0           , 286     , 14.069867747 , 19.472774, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 150              , 421.153846, -1          , 2         , 45.26043, 425      , 200        , 100       , 0           , 300     , 13.736028578 , 19.948443, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 160              , 431.153846, -1          , 2         , 44.58817, 425      , 200        , 100       , 0           , 297     , 13.687685703 , 19.847436, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 170              , 441.153846, -1          , 2         , 43.93155, 425      , 200        , 100       , 0           , 304     , 13.639174766 , 20.082362, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 180              , 451.153846, -1          , 2         , 43.29018, 425      , 200        , 100       , 0           , 317     , 13.194705452 , 20.511807, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 190              , 461.153846, -1          , 2         , 42.6637 , 425      , 200        , 100       , 0           , 328     , 13.043245378 , 20.868574, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 200              , 471.153846, -1          , 2         , 42.05174, 425      , 200        , 100       , 0           , 297     , 12.941304503 , 19.847436, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 210              , 481.153846, -1          , 2         , 41.45394, 425      , 200        , 100       , 0           , 300     , 12.838568141 , 19.948443, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 220              , 491.153846, -1          , 2         , 40.86994, 425      , 200        , 100       , 0           , 293     , 12.472441163 , 19.711986, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 230              , 501.153846, -1          , 2         , 40.29937, 425      , 200        , 100       , 0           , 300     , 12.258397055 , 19.948443, 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 240              , 511.153846, -1          , 2         , 39.7419 , 425      , 200        , 100       , 0           , 302     , 11.762787085 , 20.01551 , 0         , 0     
 .67       , .625      , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 250              , 521.153846, -1          , 2         , 39.19718, 425      , 200        , 100       , 0           , 326     , 11.81886614  , 20.804142, 0         , 0     
